Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,Four-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2022 Jeep Wrangler Unlimited 4xe Sahara,"$37,000",Heritage Toyota Catonsville,Automatic,Four-Wheel Drive,Hybrid,4.3,"1,794 reviews","Baltimore, MD (6 mi.)","16,922 mi."
2017 Volvo XC90 Hybrid T8 Inscription,"$35,998",CarMax Gaithersburg,Automatic,Four-Wheel Drive,Hybrid,0.0,10 reviews,"Gaithersburg, MD (28 mi.)","30,218 mi."
2023 Toyota Sequoia TRD Pro,"$82,000",Koons Tysons Toyota,Automatic,Four-Wheel Drive,Hybrid,4.7,"2,443 reviews","Vienna, VA (37 mi.)","6,605 mi."
2019 Mercedes-Benz GLC 350e,"$26,998",CarMax Milwaukee,Automatic,Four-Wheel Drive,Hybrid,0.0,2 reviews,,"35,913 mi."
2021 Jeep Wrangler Unlimited 4xe Unlimited Sahara High Altitude,"$46,998",CarMax Kearny Mesa,Automatic,Four-Wheel Drive,Hybrid,0.0,10 reviews,,"1,125 mi."
2022 Hyundai Santa Fe Plug-In Hybrid SEL Convenience,"$29,998",CarMax Potomac Mills,Automatic,Four-Wheel Drive,Hybrid,0.0,15 reviews,,"30,473 mi."
2019 Jeep Wrangler Unlimited Sahara,"$31,342",Rosenthal Landmark Honda,Automatic,Four-Wheel Drive,Hybrid,4.8,"1,919 reviews","Alexandria, VA (38 mi.)","27,411 mi."
2024 Toyota Tundra Hybrid Platinum,"$57,991",DARCARS Toyota Frederick,Automatic,Four-Wheel Drive,Hybrid,4.1,"1,604 reviews","Frederick, MD (41 mi.)","13,716 mi."
2023 Toyota Tundra Hybrid 1794 Edition,"$54,000",Waldorf Ford,Automatic,Four-Wheel Drive,Hybrid,4.3,"1,144 reviews","Waldorf, MD (43 mi.)","36,212 mi."
2024 Toyota Tundra Hybrid TRD Pro,"$71,000",Waldorf Toyota,Automatic,Four-Wheel Drive,Hybrid,4.8,"1,247 reviews","Waldorf, MD (44 mi.)","7,043 mi."
2023 Land Rover Range Rover Sport SE Dynamic,"$84,995",Jaguar Land Rover Chantilly,Automatic,Four-Wheel Drive,Hybrid,4.4,426 reviews,"Chantilly, VA (48 mi.)","15,513 mi."
2023 Toyota Tundra Hybrid TRD Pro,"$69,994",Toyota of York,Automatic,Four-Wheel Drive,Hybrid,3.5,622 reviews,"York, PA (52 mi.)","8,205 mi."
2021 Jeep Wrangler Unlimited 4xe Rubicon,"$35,990",Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573 reviews,"Wrightsville, PA (55 mi.)","40,857 mi."
2021 Jeep Wrangler Unlimited 4xe Rubicon,"$36,990",Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573 reviews,"Wrightsville, PA (55 mi.)","30,112 mi."
2022 Toyota Tundra Hybrid Platinum,"$51,490",Bomnin Chevrolet Manassas,Automatic,Four-Wheel Drive,Hybrid,4.4,"5,977 reviews","Manassas, VA (55 mi.)","42,937 mi."
2024 Jeep Wrangler 4xe Sport,"$44,986",New Holland Auto Group,Automatic,Four-Wheel Drive,Hybrid,4.1,457 reviews,"New Holland, PA (67 mi.)","8,662 mi."
2013 Chevrolet Tahoe Hybrid Base,"$19,888",Chevrolet of Greencastle,Automatic,Four-Wheel Drive,Hybrid,0.0,1 review,"Greencastle, PA (67 mi.)","73,571 mi."
2023 Jeep Wrangler 4xe Rubicon,"$43,866",New Holland Auto Group,Automatic,Four-Wheel Drive,Hybrid,4.1,457 reviews,"New Holland, PA (67 mi.)","8,995 mi."
2021 Ford Explorer Limited,"$36,990","L. B. Smith Ford Lincoln, Inc.",Automatic,Four-Wheel Drive,Hybrid,5.0,"2,653 reviews","Lemoyne, PA (71 mi.)","23,063 mi."
2024 Jeep Wrangler 4xe Willys,"$41,700",Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,Four-Wheel Drive,Hybrid,4.4,644 reviews,"Mechanicsburg, PA (72 mi.)","8,214 mi."
2024 Jeep Wrangler 4xe Willys,"$42,800",Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,Four-Wheel Drive,Hybrid,4.4,644 reviews,"Mechanicsburg, PA (72 mi.)","7,400 mi."
2024 Jeep Wrangler 4xe Sport S,"$40,000",Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,Four-Wheel Drive,Hybrid,4.4,644 reviews,"Mechanicsburg, PA (72 mi.)","2,944 mi."
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,Four-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2024 Toyota Tundra Hybrid Platinum,"$58,000",DARCARS Toyota Silver Spring,Automatic,Four-Wheel Drive,Hybrid,4.3,973 reviews,"Silver Spring, MD (20 mi.)","11,932 mi."
2021 Jeep Wrangler Unlimited Rubicon,"$35,999",King Kia,Automatic,Four-Wheel Drive,Hybrid,4.6,187 reviews,"Gaithersburg, MD (30 mi.)","59,553 mi."
2022 Land Rover Range Rover Sport HST,"$62,950",Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,"1,091 reviews","Vienna, VA (38 mi.)","24,348 mi."
2023 Jeep Wrangler 4xe Unlimited Sahara,"$41,998",CarMax Reno,Automatic,Four-Wheel Drive,Hybrid,0.0,8 reviews,,"24,751 mi."
2018 BMW X5 eDrive XDrive40e,"$27,998",CarMax Henderson,Automatic,Four-Wheel Drive,Hybrid,0.0,14 reviews,,"41,310 mi."
2018 BMW X5 eDrive XDrive40e,"$26,998",CarMax Potomac Mills,Automatic,Four-Wheel Drive,Hybrid,0.0,15 reviews,,"51,169 mi."
2022 Land Rover Defender SE,"$49,145",Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,"1,091 reviews","Vienna, VA (38 mi.)","58,428 mi."
2022 Toyota Tundra Hybrid TRD Pro,"$60,500",Malloy Ford of Alexandria,Automatic,Four-Wheel Drive,Hybrid,2.5,665 reviews,"Alexandria, VA (39 mi.)","18,700 mi."
2024 Toyota Tundra Hybrid 1794 Edition,"$63,420",Krietz Auto Sales,Automatic,Four-Wheel Drive,Hybrid,3.8,227 reviews,"Frederick, MD (41 mi.)","5,969 mi."
2021 Jeep Wrangler Unlimited 4xe Sahara,"$36,998",Ted Britt Ford - We Will Buy Your Car,Automatic,Four-Wheel Drive,Hybrid,0.0,308 reviews,"Fairfax, VA (44 mi.)","26,540 mi."
2023 BMW X5 PHEV XDrive45e,"$45,998",CarMax Dulles,Automatic,Four-Wheel Drive,Hybrid,0.0,26 reviews,"Sterling, VA (44 mi.)","46,850 mi."
2023 Toyota Tundra Hybrid TRD Pro,"$63,500",Jerry's Leesburg Ford,Automatic,Four-Wheel Drive,Hybrid,4.5,341 reviews,"Leesburg, VA (48 mi.)","15,867 mi."
2023 Land Rover Defender SE,"$58,629",Jaguar Land Rover Chantilly,Automatic,Four-Wheel Drive,Hybrid,4.4,426 reviews,"Chantilly, VA (48 mi.)","4,029 mi."
2023 Toyota Tundra Hybrid 1794 Edition,"$55,993",Joyce Koons Honda Buick GMC,Automatic,Four-Wheel Drive,Hybrid,4.4,"1,171 reviews","Manassas, VA (55 mi.)","23,690 mi."
2022 Jeep Grand Cherokee 4xe Summit,"$52,990",Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573 reviews,"Wrightsville, PA (55 mi.)","15,834 mi."
2023 Jeep Grand Cherokee 4xe Base,"$45,990",Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573 reviews,"Wrightsville, PA (55 mi.)","3,208 mi."
