Dealer Name,Transmission Type,Drivetrain,Fuel Type,Dealership Rating,User Reviews,Year,Make,Model,Age,Price_usd,Mileage_miles,County,State,Distance
Al Packer Ford,Automatic,Four-Wheel Drive,Hybrid,4.2,2172.0,2018,Ford,F-150 Raptor,6,40662.0,90877.0,Baltimore,MD,15.0
Heritage Toyota Catonsville,Automatic,Four-Wheel Drive,Hybrid,4.3,1794.0,2022,Jeep,Wrangler Unlimited 4xe Sahara,2,37000.0,16922.0,Baltimore,MD,6.0
CarMax Gaithersburg,Automatic,Four-Wheel Drive,Hybrid,0.0,10.0,2017,Volvo,XC90 Hybrid T8 Inscription,7,35998.0,30218.0,Gaithersburg,MD,28.0
Koons Tysons Toyota,Automatic,Four-Wheel Drive,Hybrid,4.7,2443.0,2023,Toyota,Sequoia TRD Pro,1,82000.0,6605.0,Vienna,VA,37.0
CarMax Milwaukee,Automatic,Four-Wheel Drive,Hybrid,0.0,2.0,2019,Mercedes-Benz,GLC 350e,5,26998.0,35913.0,,,
CarMax Kearny Mesa,Automatic,Four-Wheel Drive,Hybrid,0.0,10.0,2021,Jeep,Wrangler Unlimited 4xe Unlimited Sahara High Altitude,3,46998.0,1125.0,,,
CarMax Potomac Mills,Automatic,Four-Wheel Drive,Hybrid,0.0,15.0,2022,Hyundai,Santa Fe Plug-In Hybrid SEL Convenience,2,29998.0,30473.0,,,
Rosenthal Landmark Honda,Automatic,Four-Wheel Drive,Hybrid,4.8,1919.0,2019,Jeep,Wrangler Unlimited Sahara,5,31342.0,27411.0,Alexandria,VA,38.0
DARCARS Toyota Frederick,Automatic,Four-Wheel Drive,Hybrid,4.1,1604.0,2024,Toyota,Tundra Hybrid Platinum,0,57991.0,13716.0,Frederick,MD,41.0
Waldorf Ford,Automatic,Four-Wheel Drive,Hybrid,4.3,1144.0,2023,Toyota,Tundra Hybrid 1794 Edition,1,54000.0,36212.0,Waldorf,MD,43.0
Waldorf Toyota,Automatic,Four-Wheel Drive,Hybrid,4.8,1247.0,2024,Toyota,Tundra Hybrid TRD Pro,0,71000.0,7043.0,Waldorf,MD,44.0
Jaguar Land Rover Chantilly,Automatic,Four-Wheel Drive,Hybrid,4.4,426.0,2023,Land,Rover Range Rover Sport SE Dynamic,1,84995.0,15513.0,Chantilly,VA,48.0
Toyota of York,Automatic,Four-Wheel Drive,Hybrid,3.5,622.0,2023,Toyota,Tundra Hybrid TRD Pro,1,69994.0,8205.0,York,PA,52.0
Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573.0,2021,Jeep,Wrangler Unlimited 4xe Rubicon,3,35990.0,40857.0,Wrightsville,PA,55.0
Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573.0,2021,Jeep,Wrangler Unlimited 4xe Rubicon,3,36990.0,30112.0,Wrightsville,PA,55.0
Bomnin Chevrolet Manassas,Automatic,Four-Wheel Drive,Hybrid,4.4,5977.0,2022,Toyota,Tundra Hybrid Platinum,2,51490.0,42937.0,Manassas,VA,55.0
New Holland Auto Group,Automatic,Four-Wheel Drive,Hybrid,4.1,457.0,2024,Jeep,Wrangler 4xe Sport,0,44986.0,8662.0,New Holland,PA,67.0
Chevrolet of Greencastle,Automatic,Four-Wheel Drive,Hybrid,0.0,,2013,Chevrolet,Tahoe Hybrid Base,11,19888.0,73571.0,Greencastle,PA,67.0
New Holland Auto Group,Automatic,Four-Wheel Drive,Hybrid,4.1,457.0,2023,Jeep,Wrangler 4xe Rubicon,1,43866.0,8995.0,New Holland,PA,67.0
"L. B. Smith Ford Lincoln, Inc.",Automatic,Four-Wheel Drive,Hybrid,5.0,2653.0,2021,Ford,Explorer Limited,3,36990.0,23063.0,Lemoyne,PA,71.0
Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,Four-Wheel Drive,Hybrid,4.4,644.0,2024,Jeep,Wrangler 4xe Willys,0,41700.0,8214.0,Mechanicsburg,PA,72.0
Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,Four-Wheel Drive,Hybrid,4.4,644.0,2024,Jeep,Wrangler 4xe Willys,0,42800.0,7400.0,Mechanicsburg,PA,72.0
Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,Four-Wheel Drive,Hybrid,4.4,644.0,2024,Jeep,Wrangler 4xe Sport S,0,40000.0,2944.0,Mechanicsburg,PA,72.0
DARCARS Toyota Silver Spring,Automatic,Four-Wheel Drive,Hybrid,4.3,973.0,2024,Toyota,Tundra Hybrid Platinum,0,58000.0,11932.0,Silver Spring,MD,20.0
King Kia,Automatic,Four-Wheel Drive,Hybrid,4.6,187.0,2021,Jeep,Wrangler Unlimited Rubicon,3,35999.0,59553.0,Gaithersburg,MD,30.0
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2022,Land,Rover Range Rover Sport HST,2,62950.0,24348.0,Vienna,VA,38.0
CarMax Reno,Automatic,Four-Wheel Drive,Hybrid,0.0,8.0,2023,Jeep,Wrangler 4xe Unlimited Sahara,1,41998.0,24751.0,,,
CarMax Henderson,Automatic,Four-Wheel Drive,Hybrid,0.0,14.0,2018,BMW,X5 eDrive XDrive40e,6,27998.0,41310.0,,,
CarMax Potomac Mills,Automatic,Four-Wheel Drive,Hybrid,0.0,15.0,2018,BMW,X5 eDrive XDrive40e,6,26998.0,51169.0,,,
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2022,Land,Rover Defender SE,2,49145.0,58428.0,Vienna,VA,38.0
Malloy Ford of Alexandria,Automatic,Four-Wheel Drive,Hybrid,2.5,665.0,2022,Toyota,Tundra Hybrid TRD Pro,2,60500.0,18700.0,Alexandria,VA,39.0
Krietz Auto Sales,Automatic,Four-Wheel Drive,Hybrid,3.8,227.0,2024,Toyota,Tundra Hybrid 1794 Edition,0,63420.0,5969.0,Frederick,MD,41.0
Ted Britt Ford - We Will Buy Your Car,Automatic,Four-Wheel Drive,Hybrid,0.0,308.0,2021,Jeep,Wrangler Unlimited 4xe Sahara,3,36998.0,26540.0,Fairfax,VA,44.0
CarMax Dulles,Automatic,Four-Wheel Drive,Hybrid,0.0,26.0,2023,BMW,X5 PHEV XDrive45e,1,45998.0,46850.0,Sterling,VA,44.0
Jerry's Leesburg Ford,Automatic,Four-Wheel Drive,Hybrid,4.5,341.0,2023,Toyota,Tundra Hybrid TRD Pro,1,63500.0,15867.0,Leesburg,VA,48.0
Jaguar Land Rover Chantilly,Automatic,Four-Wheel Drive,Hybrid,4.4,426.0,2023,Land,Rover Defender SE,1,58629.0,4029.0,Chantilly,VA,48.0
Joyce Koons Honda Buick GMC,Automatic,Four-Wheel Drive,Hybrid,4.4,1171.0,2023,Toyota,Tundra Hybrid 1794 Edition,1,55993.0,23690.0,Manassas,VA,55.0
Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573.0,2022,Jeep,Grand Cherokee 4xe Summit,2,52990.0,15834.0,Wrightsville,PA,55.0
Susquehanna Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.2,573.0,2023,Jeep,Grand Cherokee 4xe Base,1,45990.0,3208.0,Wrightsville,PA,55.0
Land Rover Wilmington,Automatic,Four-Wheel Drive,Hybrid,4.9,133.0,2023,Land,Rover Defender X-Dynamic SE,1,64995.0,14421.0,Wilmington,DE,65.0
Sheehy Toyota of Stafford,Automatic,Four-Wheel Drive,Hybrid,4.1,1443.0,2023,Toyota,Tundra Hybrid TRD Pro,1,67998.0,18412.0,Stafford,VA,67.0
Faulkner INFINITI of Mechanicsburg,Automatic,Four-Wheel Drive,Hybrid,4.7,57.0,2024,Toyota,Tundra Hybrid 1794 Edition,0,64677.0,8026.0,Mechanicsburg,PA,72.0
David Dodge Chrysler Jeep RAM,Automatic,Four-Wheel Drive,Hybrid,4.9,5144.0,2021,Jeep,Wrangler Unlimited 4xe Unlimited Rubicon 4x4,3,41256.0,28476.0,Glen Mills,PA,75.0
Jaguar Land Rover West Chester,Automatic,Four-Wheel Drive,Hybrid,0.0,47.0,2023,Land,Rover Discovery S R-Dynamic,1,59995.0,10395.0,West Chester,PA,75.0
Jaguar Land Rover West Chester,Automatic,Four-Wheel Drive,Hybrid,0.0,47.0,2023,Land,Rover Discovery Metropolitan Edition,1,61995.0,3942.0,West Chester,PA,75.0
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2023,Land,Rover Defender SE,1,75575.0,5683.0,Vienna,VA,38.0
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2022,Land,Rover Defender X-Dynamic HSE,2,65585.0,25538.0,Vienna,VA,38.0
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2023,Land,Rover Discovery S R-Dynamic,1,59198.0,9501.0,Vienna,VA,38.0
CarMax Rochester,Automatic,Four-Wheel Drive,Hybrid,0.0,6.0,2020,Audi,Q5 e Premium Plus,4,31998.0,25558.0,,,
CarMax Phoenix-Gilbert,Automatic,Four-Wheel Drive,Hybrid,0.0,13.0,2022,Jeep,Grand Cherokee 4xe Trailhawk,2,44998.0,15163.0,,,
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2024,Land,Rover Defender S,0,76575.0,4326.0,Vienna,VA,38.0
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2023,Land,Rover Defender First Edition,1,67980.0,8857.0,Vienna,VA,38.0
Jaguar Land Rover Tysons Corner,Automatic,Four-Wheel Drive,Hybrid,4.6,1091.0,2023,Land,Rover Defender X,1,87950.0,5780.0,Vienna,VA,38.0
CarMax Dulles,Automatic,Four-Wheel Drive,Hybrid,0.0,26.0,2021,Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription Expression,3,46998.0,24812.0,Sterling,VA,44.0
Jerry's Leesburg Ford,Automatic,Four-Wheel Drive,Hybrid,4.5,341.0,2021,Ford,F-150 King Ranch,3,47400.0,54860.0,Leesburg,VA,48.0
Jaguar Land Rover Chantilly,Automatic,Four-Wheel Drive,Hybrid,4.4,426.0,2023,Land,Rover Defender X-Dynamic SE,1,75900.0,5451.0,Chantilly,VA,48.0
