Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2024 Subaru Solterra Touring,"$36,000",Koons Ford of Baltimore,Automatic,All-Wheel Drive,Electric,4.2,"1,795 reviews","Windsor Mill, MD (7 mi.)",750 mi.
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$26,382",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","23,248 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$26,764",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","21,293 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$27,280",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","18,722 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$27,309",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","18,577 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$27,168",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","19,262 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$27,643",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","16,975 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$28,269",Hertz Car Sales Baltimore,Automatic,All-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","13,925 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$31,000",Koons Volvo Cars White Marsh,Automatic,All-Wheel Drive,Electric,4.2,410 reviews,"White Marsh, MD (16 mi.)","13,110 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$32,500",Koons Volvo Cars White Marsh,Automatic,All-Wheel Drive,Electric,4.2,410 reviews,"White Marsh, MD (16 mi.)","10,270 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$31,000",Koons Volvo Cars White Marsh,Automatic,All-Wheel Drive,Electric,4.2,410 reviews,"White Marsh, MD (16 mi.)","12,875 mi."
2024 Porsche Taycan Cross Turismo 4,"$99,448",Porsche Annapolis,Automatic,All-Wheel Drive,Electric,4.8,498 reviews,"Annapolis, MD (20 mi.)",765 mi.
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$34,296",Volvo Cars Annapolis,Automatic,All-Wheel Drive,Electric,4.7,"2,564 reviews","Annapolis, MD (20 mi.)","12,407 mi."
2022 Audi e-tron Premium Plus,"$35,950",Passport INFINITI of Alexandria,Automatic,All-Wheel Drive,Electric,4.1,425 reviews,"Alexandria, VA (39 mi.)","20,418 mi."
2023 Rivian R1S Adventure,"$74,999",Select Auto Imports,Automatic,All-Wheel Drive,Electric,5,"1,277 reviews","Alexandria, VA (40 mi.)","10,773 mi."
2023 Rivian R1S Adventure,"$72,990",Ourisman Honda of Frederick,Automatic,All-Wheel Drive,Electric,4.5,"1,065 reviews","Frederick, MD (41 mi.)","7,103 mi."
2023 Toyota bZ4X Limited,"$28,000",DARCARS Used Car Center,Automatic,All-Wheel Drive,Electric,0,98 reviews,"Frederick, MD (43 mi.)","13,009 mi."
2022 Polestar 2 Long Range Dual Motor,"$28,999",Manheim Imports,Automatic,All-Wheel Drive,Electric,4.8,298 reviews,"Manheim, PA (65 mi.)","12,604 mi."
2022 Polestar 2 Long Range Dual Motor,"$28,899",Manheim Imports,Automatic,All-Wheel Drive,Electric,4.8,298 reviews,"Manheim, PA (65 mi.)","31,499 mi."
2024 Porsche Taycan Cross Turismo GTS,"$119,939",Manheim Imports,Automatic,All-Wheel Drive,Electric,4.8,298 reviews,"Manheim, PA (65 mi.)","1,060 mi."
2023 Audi e-tron Premium quattro,"$36,990",Auto Leader,Automatic,All-Wheel Drive,Electric,3.9,150 reviews,"Baltimore, MD (8 mi.)","29,125 mi."
2021 Audi e-tron Premium,"$29,998","Criswell in Annapolis, MD",Automatic,All-Wheel Drive,Electric,0,284 reviews,"Annapolis, MD (20 mi.)","21,062 mi."
2020 Porsche Taycan 4S,"$67,835",Universal Auto Group,Automatic,All-Wheel Drive,Electric,5,92 reviews,"Silver Spring, MD (26 mi.)","24,374 mi."
2019 Audi e-tron Premium Plus,"$32,417",Universal Auto Group,Automatic,All-Wheel Drive,Electric,5,92 reviews,"Silver Spring, MD (26 mi.)","16,081 mi."
2023 Audi e-tron Premium Plus quattro,"$43,500",Elite Auto Brokers,Automatic,All-Wheel Drive,Electric,4.9,765 reviews,"Gaithersburg, MD (27 mi.)","6,931 mi."
2023 Audi e-tron Premium Plus quattro,"$39,975",Ourisman Volkswagen of Bethesda,Automatic,All-Wheel Drive,Electric,3.2,78 reviews,"Bethesda, MD (29 mi.)","5,080 mi."
2021 Audi e-tron Premium Plus,"$31,495",Audi Bethesda,Automatic,All-Wheel Drive,Electric,4.7,487 reviews,"Bethesda, MD (29 mi.)","33,064 mi."
2020 Porsche Taycan 4S,"$62,500",Jim Coleman Cadillac,Automatic,All-Wheel Drive,Electric,0,230 reviews,"Bethesda, MD (30 mi.)","28,129 mi."
2019 Audi e-tron Premium Plus,"$19,587",Jim Coleman Nissan,Automatic,All-Wheel Drive,Electric,3.7,38 reviews,"Bethesda, MD (30 mi.)","101,197 mi."
2019 Audi e-tron Premium Plus,"$24,995",Jim Coleman Cadillac,Automatic,All-Wheel Drive,Electric,0,230 reviews,"Bethesda, MD (30 mi.)","51,439 mi."
2021 Porsche Taycan Turbo S,"$115,995",Porsche Arlington,Automatic,All-Wheel Drive,Electric,4.6,"1,090 reviews","Arlington, VA (35 mi.)","8,561 mi."
2020 Porsche Taycan 4S,"$57,875",Passport INFINITI of Alexandria,Automatic,All-Wheel Drive,Electric,4.1,425 reviews,"Alexandria, VA (39 mi.)","33,683 mi."
2021 Audi e-tron Premium Plus,"$27,807",Sheehy Volkswagen of Springfield,Automatic,All-Wheel Drive,Electric,4.8,"1,144 reviews","Springfield, VA (42 mi.)","55,289 mi."
2020 Porsche Taycan Turbo S,"$105,890",Dealer Network Trade,Automatic,All-Wheel Drive,Electric,4.4,10 reviews,"Springfield, VA (45 mi.)","18,096 mi."
2020 Porsche Taycan 4S,"$64,790",Auto By Design,Automatic,All-Wheel Drive,Electric,4.5,336 reviews,"Chantilly, VA (48 mi.)","26,550 mi."
2022 Porsche Taycan 4S,"$74,980",VINS DC,Automatic,All-Wheel Drive,Electric,4.5,139 reviews,"Manassas Park, VA (53 mi.)","8,566 mi."
2023 Rivian R1S Adventure,"$69,580",Sheehy Nissan of Manassas,Automatic,All-Wheel Drive,Electric,4.1,"1,073 reviews","Manassas, VA (54 mi.)","12,367 mi."
2024 Tesla Cybertruck All-Wheel Drive,"$106,977",Manheim Imports,Automatic,All-Wheel Drive,Electric,4.8,298 reviews,"Manheim, PA (65 mi.)","1,064 mi."
2023 Tesla Model S Plaid,"$71,988",Manheim Imports,Automatic,All-Wheel Drive,Electric,4.8,298 reviews,"Manheim, PA (65 mi.)","28,088 mi."
2022 Rivian R1T Adventure,"$61,998",Manheim Imports,Automatic,All-Wheel Drive,Electric,4.8,298 reviews,"Manheim, PA (65 mi.)","18,776 mi."
2023 Mercedes-Benz EQE 500 4MATIC,"$62,000",Mercedes-Benz of Catonsville,Automatic,All-Wheel Drive,Electric,4.4,579 reviews,"Baltimore, MD (6 mi.)","4,771 mi."
2022 Volkswagen ID.4 AWD Pro S,"$27,990",Fitzgerald Cadillac of Annapolis,Automatic,All-Wheel Drive,Electric,5,60 reviews,"Annapolis, MD (20 mi.)","21,124 mi."
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$34,229",Volvo Cars Annapolis,Automatic,All-Wheel Drive,Electric,4.7,"2,564 reviews","Annapolis, MD (20 mi.)","11,913 mi."
2023 Fisker Ocean Ultra,"$25,995",Universal Auto Group,Automatic,All-Wheel Drive,Electric,5,92 reviews,"Silver Spring, MD (26 mi.)","4,653 mi."
2020 Jaguar I-PACE S EV400 AWD Automatic,"$28,385",Universal Auto Group,Automatic,All-Wheel Drive,Electric,5,92 reviews,"Silver Spring, MD (26 mi.)","37,769 mi."
2019 Audi e-tron Premium Plus,"$23,995",Mercedes-Benz of Arlington,Automatic,All-Wheel Drive,Electric,4.9,"2,532 reviews","Arlington, VA (35 mi.)","78,781 mi."
2022 Jaguar I-PACE HSE,"$39,755",Jaguar Land Rover Tysons Corner,Automatic,All-Wheel Drive,Electric,4.6,"1,091 reviews","Vienna, VA (38 mi.)","21,370 mi."
2022 Audi e-tron Premium,"$37,999",Select Auto Imports,Automatic,All-Wheel Drive,Electric,5,"1,277 reviews","Alexandria, VA (40 mi.)","5,291 mi."
2024 Rolls-Royce Spectre Coupe,"$529,225",Washington Exotics,Automatic,All-Wheel Drive,Electric,0,5 reviews,"Sterling, VA (44 mi.)",234 mi.
2024 Rolls-Royce Spectre Base,"$469,888",Washington Exotics,Automatic,All-Wheel Drive,Electric,0,5 reviews,"Sterling, VA (44 mi.)","2,567 mi."
2024 Porsche Taycan Cross Turismo GTS,"$128,575",Porsche Delaware,Automatic,All-Wheel Drive,Electric,4.3,249 reviews,"Newark, DE (60 mi.)","3,924 mi."
2024 Porsche Taycan Cross Turismo 4S,"$115,975",Porsche Delaware,Automatic,All-Wheel Drive,Electric,4.3,249 reviews,"Newark, DE (60 mi.)","3,214 mi."
2022 Porsche Taycan Cross Turismo 4,"$79,975",Porsche Delaware,Automatic,All-Wheel Drive,Electric,4.3,249 reviews,"Newark, DE (60 mi.)","33,309 mi."
2024 BMW i5 M60,"$72,995",BMW of Lancaster,Automatic,All-Wheel Drive,Electric,4.8,212 reviews,"Lancaster, PA (61 mi.)","1,989 mi."
