Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2023 Ford F-350 Lariat,"$59,991",Al Packer Ford,Automatic,Four-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","29,909 mi."
2021 Jeep Wrangler Unlimited Freedom 4x4,"$30,995",Nationwide Nissan,Automatic,Four-Wheel Drive,Gasoline,4,181 reviews,"Lutherville-Timonium, MD (15 mi.)","84,419 mi."
2023 Jeep Grand Cherokee Summit,"$49,488",Fitzgerald Mazda of Annapolis,Automatic,Four-Wheel Drive,Gasoline,4.9,315 reviews,"Annapolis, MD (20 mi.)","15,721 mi."
2010 Dodge Dakota Big Horn/Lone Star,"$15,989",South Street Autos,Automatic,Four-Wheel Drive,Gasoline,0,15 reviews,"Frederick, MD (43 mi.)","79,021 mi."
2021 Ford Bronco Sport Big Bend,"$26,998",CarMax Mechanicsburg,Automatic,Four-Wheel Drive,Gasoline,0,5 reviews,N/A,"25,327 mi."
2023 Chevrolet Silverado 3500 LTZ,"$61,998",CarMax Wilmington,Automatic,Four-Wheel Drive,Gasoline,0,1 review,N/A,"8,694 mi."
2021 Lexus RX 350 F-SPORT Handling,"$44,998",CarMax Colorado Springs,Automatic,Four-Wheel Drive,Gasoline,0,13 reviews,N/A,"15,922 mi."
2020 Jeep Wrangler Unlimited Sport,"$33,995",Fitzgerald Chevrolet Frederick,Automatic,Four-Wheel Drive,Gasoline,4.2,778 reviews,"Frederick, MD (43 mi.)","20,071 mi."
2016 Land Rover LR4 Base,"$22,495",Panda Autos,Automatic,Four-Wheel Drive,Gasoline,0,4 reviews,"Vienna, VA (49 mi.)","74,476 mi."
1997 Isuzu Trooper,"$2,250",Woodbridge Public Auto Auction,Automatic,Four-Wheel Drive,Gasoline,2.8,92 reviews,"Woodbridge, VA (51 mi.)","122,247 mi."
2020 RAM 1500 Big Horn,"$35,999",Thornton Chevrolet,Automatic,Four-Wheel Drive,Gasoline,4.6,370 reviews,"Manchester, PA (57 mi.)","55,130 mi."
2019 RAM 1500 Big Horn,"$36,495",Thornton Chevrolet,Automatic,Four-Wheel Drive,Gasoline,4.6,370 reviews,"Manchester, PA (57 mi.)","44,319 mi."
2022 RAM 1500 Sport,"$41,995",Thornton Chevrolet,Automatic,Four-Wheel Drive,Gasoline,4.6,370 reviews,"Manchester, PA (57 mi.)","29,903 mi."
2023 GMC Yukon XL Denali,"$77,000",Preston Ford Lincoln Hyundai Nissan,Automatic,Four-Wheel Drive,Gasoline,0,565 reviews,"Hurlock, MD (57 mi.)","12,833 mi."
2021 Jeep Cherokee Trailhawk,"$28,098",Buchanan Auto Park,Automatic,Four-Wheel Drive,Gasoline,4.5,485 reviews,"Waynesboro, PA (58 mi.)","9,454 mi."
2021 Jeep Cherokee Limited,"$26,958",Buchanan Auto Park,Automatic,Four-Wheel Drive,Gasoline,4.5,485 reviews,"Waynesboro, PA (58 mi.)","24,318 mi."
2021 Jeep Cherokee High Altitude,"$26,158",Buchanan Auto Park,Automatic,Four-Wheel Drive,Gasoline,4.5,485 reviews,"Waynesboro, PA (58 mi.)","26,181 mi."
2022 BMW X6 xDrive40i,"$51,998",CarMax Newark,Automatic,Four-Wheel Drive,Gasoline,0,8 reviews,"Newark, DE (60 mi.)","53,879 mi."
2023 Ford Bronco Black Diamond,"$44,377",Fitzgerald Chevrolet Cadillac Hagerstown,Automatic,Four-Wheel Drive,Gasoline,4.5,186 reviews,"Hagerstown, MD (61 mi.)","3,987 mi."
2022 Nissan Frontier PRO-4X,"$36,998",Hertrich Hyundai of New Castle,Automatic,Four-Wheel Drive,Gasoline,4,319 reviews,"New Castle, DE (65 mi.)","16,816 mi."
2022 Mitsubishi Outlander SE 2.5 S-AWC,"$23,777",Chevrolet of Greencastle,Automatic,Four-Wheel Drive,Gasoline,0,1 review,"Greencastle, PA (67 mi.)","27,739 mi."
2024 Ford Bronco Sport Big Bend,"$27,995",Budget Car Sales,Automatic,Four-Wheel Drive,Gasoline,4.9,422 reviews,"Middletown, PA (67 mi.)","10,558 mi."
2023 Toyota Tacoma Limited,"$45,500",Parsons Ford Lincoln,Automatic,Four-Wheel Drive,Gasoline,4.2,516 reviews,"Martinsburg, WV (69 mi.)","15,473 mi."
2023 Ford F-350 Lariat,"$59,991",Al Packer Ford,Automatic,Four-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","29,909 mi."
2020 Jeep Wrangler Unlimited Sahara,"$32,999",Audi Owings Mills,Automatic,Four-Wheel Drive,Gasoline,4.9,353 reviews,"Owings Mills, MD (13 mi.)","45,951 mi."
2017 Jeep Wrangler Unlimited Sport,"$21,000",BMW of Towson,Automatic,Four-Wheel Drive,Gasoline,4.7,446 reviews,"Towson, MD (13 mi.)","86,653 mi."
2022 Jeep Grand Cherokee WK Limited,"$24,600",Koons Annapolis Toyota,Automatic,Four-Wheel Drive,Gasoline,4.5,"1,145 reviews","Annapolis, MD (21 mi.)","65,459 mi."
2019 Mercedes-Benz AMG E 53,"$45,998",CarMax Augusta,Automatic,Four-Wheel Drive,Gasoline,0,6 reviews,N/A,"56,212 mi."
2017 Ford F-150 XL,"$23,998",CarMax Albany,Automatic,Four-Wheel Drive,Gasoline,0,3 reviews,N/A,"77,439 mi."
2019 Ford Escape Titanium,"$18,500",Len Stoler Chrysler Dodge Jeep RAM,Automatic,Four-Wheel Drive,Gasoline,4.8,967 reviews,"Westminster, MD (27 mi.)","48,544 mi."
2020 Jeep Compass Limited,"$18,985",FitzWay Used Cars Frederick Rt 85,Automatic,Four-Wheel Drive,Gasoline,5,61 reviews,"Frederick, MD (41 mi.)","59,025 mi."
2021 Ford Ranger XL,"$30,995",Fitzgerald Volkswagen Frederick,Automatic,Four-Wheel Drive,Gasoline,4.4,12 reviews,"Frederick, MD (43 mi.)","17,687 mi."
2023 Jeep Wagoneer L Series I 4x4,"$54,995",Fitzgerald Chevrolet Frederick,Automatic,Four-Wheel Drive,Gasoline,4.2,778 reviews,"Frederick, MD (43 mi.)","21,482 mi."
2023 Chevrolet Colorado Trail Boss,"$37,800",Waldorf Toyota,Automatic,Four-Wheel Drive,Gasoline,4.8,"1,247 reviews","Waldorf, MD (44 mi.)","7,609 mi."
2012 Jeep Liberty Sport,"$6,637",Country Buick GMC of Leesburg,Automatic,Four-Wheel Drive,Gasoline,0,29 reviews,"Leesburg, VA (48 mi.)","123,116 mi."
2021 Ford Explorer XLT,"$25,500",Thornton Chrysler Dodge Jeep Ram,Automatic,Four-Wheel Drive,Gasoline,4.7,102 reviews,"Red Lion, PA (48 mi.)","66,275 mi."
2021 Jeep Grand Cherokee Limited,"$25,400",Preston Ford Lincoln Hyundai Nissan,Automatic,Four-Wheel Drive,Gasoline,0,565 reviews,"Hurlock, MD (57 mi.)","62,378 mi."
2021 Jeep Cherokee Limited,"$26,358",Buchanan Auto Park,Automatic,Four-Wheel Drive,Gasoline,4.5,485 reviews,"Waynesboro, PA (58 mi.)","30,052 mi."
2019 Ford Expedition XLT,"$27,978",Willis Chevrolet,Automatic,Four-Wheel Drive,Gasoline,4.8,100 reviews,"Smyrna, DE (59 mi.)","92,860 mi."
2020 Ford Expedition Max Limited,"$35,823",Sheehy Volkswagen of Hagerstown,Automatic,Four-Wheel Drive,Gasoline,0,2 reviews,"Hagerstown, MD (59 mi.)","86,337 mi."
2021 Jeep Renegade Trailhawk,"$23,765",New Holland Auto Group,Automatic,Four-Wheel Drive,Gasoline,4.1,457 reviews,"New Holland, PA (67 mi.)","42,615 mi."
2019 RAM 1500 Laramie,"$33,832",Chambersburg Hyundai,Automatic,Four-Wheel Drive,Gasoline,0,2 reviews,"Chambersburg, PA (68 mi.)","71,735 mi."
