Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,All-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2014 INFINITI Q50 Hybrid Sport,"$14,895",National Motors of Ellicott City,Automatic,All-Wheel Drive,Hybrid,4.5,554 reviews,"Ellicott City, MD (8 mi.)","102,865 mi."
2019 Volvo S60 Hybrid T8 R-Design,"$27,000",Heritage Toyota Owings Mills,Automatic,All-Wheel Drive,Hybrid,4.7,"1,346 reviews","Owings Mills, MD (13 mi.)","33,080 mi."
2023 Honda CR-V Hybrid Sport Touring,"$36,600",Heritage Volkswagen Parkville,Automatic,All-Wheel Drive,Hybrid,4.6,"1,658 reviews","Baltimore, MD (14 mi.)","13,276 mi."
2020 Acura RLX Sport Hybrid Advance Package,"$40,500",Koons Volvo Cars White Marsh,Automatic,All-Wheel Drive,Hybrid,4.2,410 reviews,"White Marsh, MD (16 mi.)","17,209 mi."
2023 Porsche Panamera E-Hybrid 4 Platinum Edition,"$112,777",Porsche Owings Mills,Automatic,All-Wheel Drive,Hybrid,4.7,152 reviews,"Owings Mills, MD (16 mi.)","7,118 mi."
2021 Porsche Cayenne E-Hybrid Coupe Turbo S,"$116,998",Porsche Annapolis,Automatic,All-Wheel Drive,Hybrid,4.8,498 reviews,"Annapolis, MD (20 mi.)","28,840 mi."
2019 Volvo XC90 Hybrid T8 Momentum,"$37,900",Ourisman Hyundai of Bowie,Automatic,All-Wheel Drive,Hybrid,3.4,835 reviews,"Bowie, MD (23 mi.)","29,029 mi."
2024 Lexus TX 500h Luxury,"$79,000",Koons Tysons Toyota,Automatic,All-Wheel Drive,Hybrid,4.7,"2,443 reviews","Vienna, VA (37 mi.)","4,820 mi."
2022 Bentley Flying Spur Hybrid Hybrid,"$178,888",Washington Exotics,Automatic,All-Wheel Drive,Hybrid,0,5 reviews,"Sterling, VA (44 mi.)","14,103 mi."
2020 Porsche Cayenne E-Hybrid S,"$102,975",Porsche Delaware,Automatic,All-Wheel Drive,Hybrid,4.3,249 reviews,"Newark, DE (60 mi.)","26,108 mi."
2023 Hyundai Santa Fe Plug-In Hybrid SEL Convenience,"$31,649",Massey Hyundai,Automatic,All-Wheel Drive,Hybrid,3.9,987 reviews,"Hagerstown, MD (64 mi.)","8,868 mi."
2021 Lexus UX 250h F Sport,"$28,987",Morgan Automotive Inc.,Automatic,All-Wheel Drive,Hybrid,5,"1,000 reviews","Manheim, PA (65 mi.)","35,926 mi."
2023 Hyundai Santa Fe SEL 2.4,"$31,777",Chevrolet of Greencastle,Automatic,All-Wheel Drive,Hybrid,0,1 review,"Greencastle, PA (67 mi.)","7,611 mi."
2019 Volvo XC60 Recharge Plug-In Hybrid T8 Inscription,"$25,995",Kyner's Auto Sales Inc.,Automatic,All-Wheel Drive,Hybrid,4.8,710 reviews,"Chambersburg, PA (68 mi.)","81,245 mi."
2017 BMW i8 Base,"$48,990",Union Park Honda BMW Buick GMC Volvo Cars Jaguar,Automatic,All-Wheel Drive,Hybrid,3.4,554 reviews,"Wilmington, DE (70 mi.)","70,273 mi."
2021 Porsche Cayenne E-Hybrid S,"$69,779",Porsche Mechanicsburg,Automatic,All-Wheel Drive,Hybrid,4.9,115 reviews,"Mechanicsburg, PA (72 mi.)","39,709 mi."
2022 Hyundai Tucson Hybrid Blue,"$22,995","Pointe Buick GMC, LLC",Automatic,All-Wheel Drive,Hybrid,4.3,770 reviews,"Penns Grove, NJ (74 mi.)","20,387 mi."
2022 Toyota Highlander Hybrid XLE,"$35,898",Hertrich Buick GMC of Seaford,Automatic,All-Wheel Drive,Hybrid,3.8,65 reviews,"Seaford, DE (74 mi.)","72,599 mi."
2021 BMW X3 PHEV xDrive30e,"$37,999",BMW of West Chester (PA),Automatic,All-Wheel Drive,Hybrid,4.8,"2,619 reviews","West Chester, PA (76 mi.)","42,358 mi."
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,All-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2022 Kia Sorento SX,"$35,000",Heritage Mazda Catonsville,Automatic,All-Wheel Drive,Hybrid,4.4,955 reviews,"Catonsville, MD (6 mi.)","23,783 mi."
2022 Porsche Cayenne Turbo S E-Hybrid,"$139,500","European Motors, LTD",Automatic,All-Wheel Drive,Hybrid,4,58 reviews,"Towson, MD (13 mi.)","6,000 mi."
2023 Volvo XC90 Recharge Plug-In Hybrid T8 Ultimate Dark Theme 7-Seater,"$65,219",Volvo Cars Annapolis,Automatic,All-Wheel Drive,Hybrid,4.7,"2,564 reviews","Annapolis, MD (20 mi.)","17,151 mi."
2018 Acura MDX Sport Hybrid w/Advance Package,"$29,949","Criswell in Annapolis, MD",Automatic,All-Wheel Drive,Hybrid,0,284 reviews,"Annapolis, MD (20 mi.)","36,947 mi."
2024 Kia Sportage Hybrid SX-Prestige,"$38,995",Jones Kia and Used Cars,Automatic,All-Wheel Drive,Hybrid,3.1,193 reviews,"Fallston, MD (24 mi.)","4,022 mi."
