Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2023 Mercedes-Benz EQB 250 250+,"$35,000",Mercedes-Benz of Catonsville,Automatic,Front-Wheel Drive,Electric,4.4,578 reviews,"Baltimore, MD (6 mi.)","7,805 mi."
2020 Hyundai IONIQ EV Limited,"$18,850",Easterns Automotive Group of West Baltimore,Automatic,Front-Wheel Drive,Electric,5,28 reviews,"Baltimore, MD (8 mi.)","37,371 mi."
2021 Chevrolet Bolt EV FWD LT,"$19,850",Easterns Automotive Group of Glen Burnie,Automatic,Front-Wheel Drive,Electric,4.9,726 reviews,"Millersville, MD (9 mi.)","29,958 mi."
2017 Chevrolet Bolt EV Premier,"$11,998",Audi Owings Mills,Automatic,Front-Wheel Drive,Electric,4.9,353 reviews,"Owings Mills, MD (13 mi.)","93,038 mi."
2023 Mercedes-Benz EQB 250 250+,"$30,600",Koons Clarksville Chevy Buick GMC,Automatic,Front-Wheel Drive,Electric,4.5,502 reviews,"Clarksville, MD (15 mi.)","6,499 mi."
2021 Chevrolet Bolt EV FWD Premier,"$20,490",Nissan of White Marsh,Automatic,Front-Wheel Drive,Electric,4.1,33 reviews,"White Marsh, MD (16 mi.)","23,679 mi."
2023 Nissan ARIYA EVOLVE+,"$30,250",Nissan of White Marsh,Automatic,Front-Wheel Drive,Electric,4.1,33 reviews,"White Marsh, MD (16 mi.)","7,387 mi."
2020 Chevrolet Bolt EV LT,"$16,584",Ourisman Chevrolet Mitsubishi -Curbside Pick Up and Home Delivery Available,Automatic,Front-Wheel Drive,Electric,4.1,539 reviews,"Marlow Heights, MD (32 mi.)","46,136 mi."
2014 Mercedes-Benz B-Class Electric Drive Base,"$12,995",Virginia Auto Trader Co.,Automatic,Front-Wheel Drive,Electric,2.4,60 reviews,"Arlington, VA (33 mi.)","47,337 mi."
2014 Ford Focus Electric Base,"$6,800",Malloy Ford of Alexandria,Automatic,Front-Wheel Drive,Electric,2.5,665 reviews,"Alexandria, VA (39 mi.)","61,138 mi."
2016 Ford Focus Electric Base,"$6,995",Auto Buying Service,Automatic,Front-Wheel Drive,Electric,2.7,197 reviews,"Fairfax, VA (40 mi.)","46,355 mi."
2021 Chevrolet Bolt EV FWD LT,"$18,895",Fitzgerald Cadillac Frederick,Automatic,Front-Wheel Drive,Electric,5,12 reviews,"Frederick, MD (43 mi.)","33,220 mi."
2020 Chevrolet Bolt EV FWD Premier,"$19,500",Safford Chrysler Jeep Dodge RAM Fiat of Springfield,Automatic,Front-Wheel Drive,Electric,4,955 reviews,"Springfield, VA (44 mi.)","30,774 mi."
2018 Ford Focus Electric Base,"$10,995",Autobahn of Woodbridge,Automatic,Front-Wheel Drive,Electric,0,2 reviews,"Woodbridge, VA (53 mi.)","33,604 mi."
2020 Hyundai IONIQ EV Limited,"$18,000",Chambersburg Hyundai,Automatic,Front-Wheel Drive,Electric,0,2 reviews,"Chambersburg, PA (68 mi.)","34,986 mi."
2021 Chevrolet Bolt EV FWD Premier,"$17,495",Rocky Ridge Auto Sales,Automatic,Front-Wheel Drive,Electric,0,640 reviews,"Ephrata, PA (72 mi.)","27,862 mi."
2021 Chevrolet Bolt EV FWD LT,"$14,995",Rocky Ridge Auto Sales,Automatic,Front-Wheel Drive,Electric,0,640 reviews,"Ephrata, PA (72 mi.)","47,483 mi."
2020 Chevrolet Bolt EV FWD LT,"$14,995",Rocky Ridge Auto Sales,Automatic,Front-Wheel Drive,Electric,0,640 reviews,"Ephrata, PA (72 mi.)","37,348 mi."
2022 Kia Niro EV EX,"$17,900",Twin Pine Ford,Automatic,Front-Wheel Drive,Electric,4.7,"1,007 reviews","Ephrata, PA (73 mi.)","31,909 mi."
2021 Kia Niro EV EX,"$16,900",Twin Pine Ford,Automatic,Front-Wheel Drive,Electric,4.7,"1,007 reviews","Ephrata, PA (73 mi.)","31,901 mi."
2021 Hyundai Kona EV SEL,"$20,850",Easterns Automotive Group of West Baltimore,Automatic,Front-Wheel Drive,Electric,5,28 reviews,"Baltimore, MD (8 mi.)","27,900 mi."
2018 Chevrolet Bolt EV LT,"$17,690",Easterns Automotive Group of Baltimore,Automatic,Front-Wheel Drive,Electric,4.9,"5,866 reviews","Rosedale, MD (11 mi.)","19,874 mi."
2021 Hyundai Kona EV SEL,"$21,950",Easterns Automotive Group of Baltimore,Automatic,Front-Wheel Drive,Electric,4.9,"5,866 reviews","Rosedale, MD (11 mi.)","29,444 mi."
2020 Chevrolet Bolt EV FWD LT,"$18,950",Easterns Automotive Group of Baltimore,Automatic,Front-Wheel Drive,Electric,4.9,"5,866 reviews","Rosedale, MD (11 mi.)","33,112 mi."
2020 Chevrolet Bolt EV FWD LT,"$18,950",Easterns Automotive Group of Baltimore,Automatic,Front-Wheel Drive,Electric,4.9,"5,866 reviews","Rosedale, MD (11 mi.)","34,933 mi."
2023 Chevrolet Bolt EV FWD 1LT,"$17,941",Hertz Car Sales Baltimore,Automatic,Front-Wheel Drive,Electric,1.9,24 reviews,"Nottingham, MD (14 mi.)","31,926 mi."
2021 Hyundai Kona EV Ultimate,"$21,850",Nissan of White Marsh,Automatic,Front-Wheel Drive,Electric,4.1,33 reviews,"White Marsh, MD (16 mi.)","47,469 mi."
2018 Chevrolet Bolt EV Premier Electric Hatchback,"$15,995",Trust Auto,Automatic,Front-Wheel Drive,Electric,4.6,492 reviews,"Sykesville, MD (25 mi.)","50,188 mi."
2024 MINI Hardtop Cooper S,"$32,500",MINI of Montgomery County,Automatic,Front-Wheel Drive,Electric,4.6,289 reviews,"Gaithersburg, MD (30 mi.)","6,069 mi."
2023 Nissan Leaf S 40 kWh,"$16,490",District Auto Group,Automatic,Front-Wheel Drive,Electric,5,24 reviews,"Marlow Heights, MD (32 mi.)","18,050 mi."
2014 Nissan Leaf SL,"$7,495",Virginia Auto Trader Co.,Automatic,Front-Wheel Drive,Electric,2.4,60 reviews,"Arlington, VA (33 mi.)","40,402 mi."
2020 Nissan Leaf SV PLUS 62 kWh,"$15,900",Alexandria VW,Automatic,Front-Wheel Drive,Electric,4.6,"1,145 reviews","Alexandria, VA (35 mi.)","31,907 mi."
2014 Chevrolet Volt Base,"$8,500",AP Fairfax,Automatic,Front-Wheel Drive,Electric,0,504 reviews,"Fairfax, VA (42 mi.)","110,055 mi."
2020 Hyundai IONIQ EV Limited,"$19,275",Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,Automatic,Front-Wheel Drive,Electric,4.9,"1,155 reviews","Sterling, VA (46 mi.)","25,911 mi."
2020 Hyundai IONIQ EV Limited,"$19,490",Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,Automatic,Front-Wheel Drive,Electric,4.9,"1,155 reviews","Sterling, VA (46 mi.)","27,270 mi."
2020 Hyundai IONIQ EV Limited,"$18,850",Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,Automatic,Front-Wheel Drive,Electric,4.9,"1,155 reviews","Sterling, VA (46 mi.)","21,728 mi."
2020 Hyundai IONIQ EV Limited,"$18,390",Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,Automatic,Front-Wheel Drive,Electric,4.9,"1,155 reviews","Sterling, VA (46 mi.)","41,656 mi."
2021 Chevrolet Bolt EV FWD LT,"$17,000",Koons Woodbridge Buick GMC,Automatic,Front-Wheel Drive,Electric,4.1,99 reviews,"Woodbridge, VA (53 mi.)","23,482 mi."
2021 Nissan Leaf SV,"$17,995",Carmart,Automatic,Front-Wheel Drive,Electric,3.1,31 reviews,"Manassas, VA (54 mi.)","13,577 mi."
2023 Toyota bZ4X XLE,"$27,000",Preston Ford Lincoln Hyundai Nissan,Automatic,Front-Wheel Drive,Electric,0,565 reviews,"Hurlock, MD (57 mi.)","5,167 mi."
2020 Chevrolet Bolt EV FWD LT,"$18,950",Easterns Automotive Group of Baltimore,Automatic,Front-Wheel Drive,Electric,4.9,"5,866 reviews","Rosedale, MD (11 mi.)","33,112 mi."
