Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2020 Ford F-150 XL,"$24,987",Al Packer Ford,Automatic,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","118,688 mi."
2023 Kia Niro Plug-In Hybrid EX,"$23,500",Heritage Toyota Catonsville,Automatic,Front-Wheel Drive,Hybrid,4.3,"1,794 reviews","Baltimore, MD (6 mi.)","60,091 mi."
2018 Toyota Camry Hybrid XLE,"$19,000",Ourisman Kia of Catonsville,Automatic,Front-Wheel Drive,Hybrid,0,1 review,"Woodlawn, MD (6 mi.)","87,601 mi."
2016 Toyota Avalon Hybrid Limited,"$14,990",Jim Coleman Honda,Automatic,Front-Wheel Drive,Hybrid,4.8,"2,594 reviews","Clarkesville, MD (15 mi.)","145,962 mi."
2021 Toyota Avalon Hybrid XSE,"$33,500",Bill Page Toyota,Automatic,Front-Wheel Drive,Hybrid,4.7,444 reviews,"Falls Church, VA (37 mi.)","33,564 mi."
2009 Ford Escape Hybrid Limited,"$7,991",Auto Deal Makers,Automatic,Front-Wheel Drive,Hybrid,N/A,N/A,"Chantilly, VA (49 mi.)","90,726 mi."
2012 Lincoln MKZ Hybrid Base,"$6,322",Auto Deal Makers,Automatic,Front-Wheel Drive,Hybrid,N/A,N/A,"Chantilly, VA (49 mi.)","134,088 mi."
2016 Chevrolet Malibu Hybrid Base,"$11,922",Precise Automotive Group,Automatic,Front-Wheel Drive,Hybrid,4.5,128 reviews,"Chantilly, VA (49 mi.)","65,812 mi."
2019 Ford Fusion Hybrid SE,"$21,572",Thornton Automotive Dover,Automatic,Front-Wheel Drive,Hybrid,4.9,821 reviews,"Dover, PA (53 mi.)","27,263 mi."
2018 Chevrolet Malibu Hybrid,"$14,558",Sheehy Volkswagen of Hagerstown,Automatic,Front-Wheel Drive,Hybrid,0,2 reviews,"Hagerstown, MD (59 mi.)","81,745 mi."
2019 Kia Niro LX,"$15,295","Lancaster County Motors, Inc.",Automatic,Front-Wheel Drive,Hybrid,4.8,908 reviews,"East Petersburg, PA (62 mi.)","63,135 mi."
2019 Toyota Avalon Hybrid XLE,"$25,997",MAC Cars,Automatic,Front-Wheel Drive,Hybrid,0,29 reviews,"New Castle, DE (68 mi.)","45,067 mi."
2008 Toyota Camry Hybrid Base,"$9,875",Keystone Quality Motors,Automatic,Front-Wheel Drive,Hybrid,0,9 reviews,"New Holland, PA (68 mi.)","116,430 mi."
2020 Lincoln MKZ Hybrid Reserve,"$21,400",Kyner's Auto Sales Inc.,Automatic,Front-Wheel Drive,Hybrid,4.8,710 reviews,"Chambersburg, PA (68 mi.)","47,249 mi."
2015 Kia Optima Hybrid EX,"$8,495",Patriot Auto Group LLC,Automatic,Front-Wheel Drive,Hybrid,0,5 reviews,"Stafford, VA (69 mi.)","131,678 mi."
2018 Nissan Rogue Hybrid SL,"$18,500",Country Chevrolet,Automatic,Front-Wheel Drive,Hybrid,4.9,"1,054 reviews","Warrenton, VA (70 mi.)","65,127 mi."
2012 Lincoln MKZ Hybrid Base,"$15,900",Forrester Lincoln,Automatic,Front-Wheel Drive,Hybrid,5,"1,401 reviews","Chambersburg, PA (71 mi.)","31,111 mi."
2019 Honda Insight Touring 4dr Sedan,"$11,450",Cars Trend LLC,Automatic,Front-Wheel Drive,Hybrid,3.7,22 reviews,"Harrisburg, PA (71 mi.)","145,887 mi."
2022 Hyundai IONIQ Hybrid SE,"$20,277",Freysinger Hyundai,Automatic,Front-Wheel Drive,Hybrid,0,902 reviews,"Mechanicsburg, PA (72 mi.)","18,438 mi."
2024 Toyota Camry Hybrid SE,"$33,911",Heritage Toyota CDJR of Harrisburg,Automatic,Front-Wheel Drive,Hybrid,4.8,"4,892 reviews","Harrisburg, PA (76 mi.)","13,081 mi."
2020 Ford F-150 XL,"$24,987",Al Packer Ford,Automatic,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","118,688 mi."
2023 Hyundai Sonata Hybrid SE,"$26,500",Bob Bell Ford Hyundai,Automatic,Front-Wheel Drive,Hybrid,3.5,987 reviews,"Glen Burnie, MD (6 mi.)","3,443 mi."
2023 Hyundai Sonata Hybrid SE,"$28,844",Thompson Hyundai,Automatic,Front-Wheel Drive,Hybrid,4.8,"1,549 reviews","Dundalk, MD (10 mi.)","12,973 mi."
2023 Hyundai Sonata Hybrid SE,"$26,250",Heritage Hyundai Towson,Automatic,Front-Wheel Drive,Hybrid,4.8,"3,513 reviews","Towson, MD (13 mi.)","16,979 mi."
2021 Hyundai Sonata Hybrid Blue,"$21,300",Heritage Honda,Automatic,Front-Wheel Drive,Hybrid,4.9,"3,668 reviews","Parkville, MD (14 mi.)","28,431 mi."
2019 Hyundai IONIQ Hybrid Limited,"$20,388",Genesis of Rockville,Automatic,Front-Wheel Drive,Hybrid,0,2 reviews,"Rockville, MD (27 mi.)","30,166 mi."
2008 Toyota Camry Hybrid Base,"$6,995",Hybrid & Gas Automotive Inc,Automatic,Front-Wheel Drive,Hybrid,0,8 reviews,"Aberdeen, MD (31 mi.)","170,840 mi."
2019 Ford Fusion Hybrid SE,"$16,000",Koons Sterling Ford,Automatic,Front-Wheel Drive,Hybrid,4,982 reviews,"Sterling, VA (41 mi.)","52,554 mi."
2022 Chrysler Pacifica Hybrid Touring L,"$23,602",Hertz Car Sales Springfield,Automatic,Front-Wheel Drive,Hybrid,0,4 reviews,"Springfield, VA (42 mi.)","64,528 mi."
2013 Toyota Avalon Hybrid XLE Touring,"$13,990",Frederick Auto House,Automatic,Front-Wheel Drive,Hybrid,0,15 reviews,"Frederick, MD (42 mi.)","119,018 mi."
2013 Ford C-Max Hybrid SE,"$7,832",Country Buick GMC of Leesburg,Automatic,Front-Wheel Drive,Hybrid,0,29 reviews,"Leesburg, VA (48 mi.)","104,717 mi."
2015 Ford C-Max Hybrid SEL,"$10,999",Dotcom Auto,Automatic,Front-Wheel Drive,Hybrid,1.8,12 reviews,"Chantilly, VA (48 mi.)","69,833 mi."
2015 Lincoln MKZ Hybrid Base,"$9,995",NOVA Autoland LLC,Automatic,Front-Wheel Drive,Hybrid,4.3,6 reviews,"Chantilly, VA (49 mi.)","100,450 mi."
2010 Mercury Milan Hybrid Sedan,"$8,444",Precise Automotive Group,Automatic,Front-Wheel Drive,Hybrid,4.5,128 reviews,"Chantilly, VA (49 mi.)","110,530 mi."
2014 Honda Accord Hybrid Base,"$9,899",Precise Automotive Group,Automatic,Front-Wheel Drive,Hybrid,4.5,128 reviews,"Chantilly, VA (49 mi.)","145,760 mi."
2017 Kia Optima Hybrid EX,"$11,777",Lease Return Center,Automatic,Front-Wheel Drive,Hybrid,2.3,339 reviews,"Triangle, VA (60 mi.)","74,734 mi."
2024 Hyundai Elantra HEV Limited,"$27,998","Lancaster County Motors, Inc.",Automatic,Front-Wheel Drive,Hybrid,4.8,908 reviews,"East Petersburg, PA (62 mi.)","2,134 mi."
2016 Ford C-Max Hybrid SEL,"$15,000",Bob Ruth Ford,Automatic,Front-Wheel Drive,Hybrid,4.7,"1,942 reviews","Dillsburg, PA (64 mi.)","33,976 mi."
2018 Hyundai IONIQ Hybrid Blue,"$16,000",Bob Ruth Ford,Automatic,Front-Wheel Drive,Hybrid,4.7,"1,942 reviews","Dillsburg, PA (64 mi.)","68,831 mi."
2013 Kia Optima Hybrid EX,"$8,495",PK Auto Sales,Automatic,Front-Wheel Drive,Hybrid,4.9,13 reviews,"Stafford, VA (66 mi.)","121,041 mi."
