Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,Rear-Wheel Drive,Diesel,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2021 Chevrolet Silverado 1500 LT,"$29,400",Heritage Chrysler Jeep Dodge RAM Parkville,Automatic,Rear-Wheel Drive,Diesel,4.7,"2,270 reviews","Baltimore, MD (14 mi.)","64,444 mi."
2019 Mercedes-Benz Sprinter 3500XD High Roof,"$38,995",Trust Auto,Automatic,Rear-Wheel Drive,Diesel,4.6,492 reviews,"Sykesville, MD (25 mi.)","106,993 mi."
2016 Mercedes-Benz Sprinter 2500 Normal Roof,"$39,995",Trust Auto,Automatic,Rear-Wheel Drive,Diesel,4.6,492 reviews,"Sykesville, MD (25 mi.)","23,040 mi."
2021 GMC Sierra 1500 Elevation,"$37,998",CarMax Oxnard,Automatic,Rear-Wheel Drive,Diesel,0,15 reviews,N/A,"53,341 mi."
2018 Chevrolet Cruze LT,"$15,998",CarMax Murrieta,Automatic,Rear-Wheel Drive,Diesel,0,3 reviews,N/A,"28,288 mi."
2015 Mercedes-Benz Sprinter 2500 High Roof,"$28,595",Trust Auto,Automatic,Rear-Wheel Drive,Diesel,4.6,492 reviews,"Sykesville, MD (25 mi.)","88,659 mi."
2018 Jeep Grand Cherokee Limited X,"$18,195",Trust Auto,Automatic,Rear-Wheel Drive,Diesel,4.6,492 reviews,"Sykesville, MD (25 mi.)","79,099 mi."
2021 Chevrolet Silverado 3500 WT,"$37,595",Trust Auto,Automatic,Rear-Wheel Drive,Diesel,4.6,492 reviews,"Sykesville, MD (25 mi.)","70,916 mi."
2020 Mercedes-Benz Sprinter 4500 High Roof V6,"$53,500",Elite Auto Brokers,Automatic,Rear-Wheel Drive,Diesel,4.9,765 reviews,"Gaithersburg, MD (27 mi.)","20,473 mi."
2020 Mercedes-Benz Sprinter 4500 High Roof V6,"$52,995",Elite Auto Brokers,Automatic,Rear-Wheel Drive,Diesel,4.9,765 reviews,"Gaithersburg, MD (27 mi.)","23,303 mi."
2018 Mercedes-Benz Sprinter 2500 Standard Roof,"$23,950",Easterns Automotive Group of Temple Hills,Automatic,Rear-Wheel Drive,Diesel,4.9,"5,603 reviews","Temple Hills, MD (33 mi.)","91,509 mi."
2018 Mercedes-Benz Sprinter 3500 High Roof,"$75,900",Adams Chevrolet,Automatic,Rear-Wheel Drive,Diesel,4.2,283 reviews,"Havre De Grace, MD (37 mi.)","16,610 mi."
2020 Mercedes-Benz Sprinter 2500 High Roof,"$34,991",AutoNation Honda Dulles,Automatic,Rear-Wheel Drive,Diesel,4.6,"3,412 reviews","Sterling, VA (44 mi.)","108,592 mi."
