Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,Rear-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2014 BMW ActiveHybrid 3 Base,"$13,150",Prime Motors LLC,Automatic,Rear-Wheel Drive,Hybrid,2.7,79 reviews,"Arlington, VA (36 mi.)","106,229 mi."
2012 BMW ActiveHybrid 5 ActiveHybrid 5,"$8,995",Virginia Fine Cars,Automatic,Rear-Wheel Drive,Hybrid,3.8,25 reviews,"Chantilly, VA (49 mi.)","99,980 mi."
2017 Ford Fusion Energi Titanium,"$15,998",CarMax Ellicott City,Automatic,Rear-Wheel Drive,Hybrid,0,8 reviews,"Ellicott City, MD (8 mi.)","75,785 mi."
2019 Toyota Prius Prime Premium,"$26,998",CarMax Virginia Beach,Automatic,Rear-Wheel Drive,Hybrid,0,6 reviews,N/A,"24,953 mi."
2020 Ford Fusion Energi Titanium,"$21,998",CarMax Modesto,Automatic,Rear-Wheel Drive,Hybrid,0,3 reviews,N/A,"25,512 mi."
2016 BMW 330e E iPerformance,"$19,998",CarMax Dulles,Automatic,Rear-Wheel Drive,Hybrid,0,26 reviews,"Sterling, VA (44 mi.)","64,235 mi."
2021 Chrysler Pacifica Hybrid Pinnacle,"$36,998",CarMax Lancaster,Automatic,Rear-Wheel Drive,Hybrid,2.4,19 reviews,"Lancaster, PA (61 mi.)","35,210 mi."
2022 Ford F-150 Lariat,"$42,300",Lindsay Chrysler Dodge Jeep Ram,Automatic,Rear-Wheel Drive,Hybrid,4.7,"1,761 reviews","Manassas, VA (53 mi.)","25,875 mi."
2016 BMW 330e Base,"$13,250",Prime Motors LLC,Automatic,Rear-Wheel Drive,Hybrid,2.7,79 reviews,"Arlington, VA (36 mi.)","105,050 mi."
2011 Mercedes-Benz S-Class S 400 Hybrid 4dr Sedan,"$10,490",Mount Airy Auto Sales,Automatic,Rear-Wheel Drive,Hybrid,0,1 review,"Mount Airy, MD (27 mi.)","98,361 mi."
2024 Chevrolet Corvette E-Ray,"$144,999",Ted Britt Ford Lincoln of Chantilly,Automatic,Rear-Wheel Drive,Hybrid,2.9,"1,277 reviews","Chantilly, VA (48 mi.)",125 mi.
2018 Chrysler Pacifica Hybrid Touring Plus,"$25,998",CarMax Lancaster,Automatic,Rear-Wheel Drive,Hybrid,2.4,19 reviews,"Lancaster, PA (61 mi.)","28,312 mi."
2014 Porsche Panamera E-Hybrid S,"$24,995",M&B Auto Group,Automatic,Rear-Wheel Drive,Hybrid,4.8,81 reviews,"Bealeton, VA (74 mi.)","40,035 mi."
2021 BMW 530e 530e,"$32,934",BMW of Sterling,Automatic,Rear-Wheel Drive,Hybrid,3.6,"1,140 reviews","Sterling, VA (44 mi.)","25,431 mi."
2022 RAM 1500 Lone Star,"$24,935",Bridgewater KIA,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"Bridgewater, NJ (145 mi.)","45,768 mi."
2020 Ford Fusion Energi Titanium,"$19,998",CarMax Turnersville,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"Sicklerville, NJ (96 mi.)","58,100 mi."
2023 McLaren Artura TechLux,"$196,995",J & S Autohaus,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"Ewing, NJ (124 mi.)","5,918 mi."
2023 Ferrari 296 GTB Base,"$394,996",Ferrari Philadelphia,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"Bryn Mawr, PA (91 mi.)",723 mi.
2021 BMW i3 s,"$26,959",BMW of the Main Line,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"Bala Cynwyd, PA (94 mi.)","36,864 mi."
2023 Ferrari 296 GTB Coupe,"$434,490",Ferrari Philadelphia,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"Bryn Mawr, PA (91 mi.)",602 mi.
2023 McLaren Artura Performance,"$275,995",McLaren Philadelphia,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"West Chester, PA (80 mi.)",515 mi.
2023 McLaren Artura Performance,"$236,996",McLaren Philadelphia,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"West Chester, PA (80 mi.)",751 mi.
2023 McLaren Artura TechLux,"$259,995",McLaren Philadelphia,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"West Chester, PA (80 mi.)",543 mi.
2023 McLaren Artura TechLux,"$229,995",McLaren Philadelphia,Automatic,Rear-Wheel Drive,Hybrid,N/A,N/A,"West Chester, PA (80 mi.)","1,110 mi."
