Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2021 Toyota RAV4 Hybrid XLE,"$30,000",Heritage Volkswagen Catonsville,CVT,All-Wheel Drive,Hybrid,4.6,785 reviews,"Catonsville, MD (6 mi.)","43,499 mi."
2021 Toyota Venza Limited,"$30,000",Heritage Toyota Owings Mills,CVT,All-Wheel Drive,Hybrid,4.7,"1,346 reviews","Owings Mills, MD (13 mi.)","57,355 mi."
2024 Toyota Grand Highlander Limited,"$56,350",Len Stoler Lexus,CVT,All-Wheel Drive,Hybrid,4.9,429 reviews,"Owings Mills, MD (16 mi.)","21,020 mi."
2021 Lexus NX 300h 300H,"$34,800",DARCARS Lexus Of Silver Spring,CVT,All-Wheel Drive,Hybrid,4.6,"1,787 reviews","Silver Spring, MD (20 mi.)","29,725 mi."
2021 Lexus NX 300h 300H,"$28,643",DARCARS Lexus Of Silver Spring,CVT,All-Wheel Drive,Hybrid,4.6,"1,787 reviews","Silver Spring, MD (20 mi.)","91,121 mi."
2020 Lexus RX 450h Base,"$38,000",Koons Annapolis Toyota,CVT,All-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","29,873 mi."
2024 Toyota RAV4 Prime SE,"$45,448",BMW of Rockville,CVT,All-Wheel Drive,Hybrid,4.6,"2,722 reviews","Rockville, MD (27 mi.)",692 mi.
2021 Lexus NX 300h AWD,"$35,995",Rosenthal Acura,CVT,All-Wheel Drive,Hybrid,4.2,295 reviews,"Gaithersburg, MD (30 mi.)","29,157 mi."
2020 Lexus NX 300h Base,"$30,499",King Volkswagen,CVT,All-Wheel Drive,Hybrid,3.7,205 reviews,"Gaithersburg, MD (30 mi.)","53,040 mi."
2024 Lexus TX 550h+ Luxury,"$90,000",Koons Tysons Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","3,239 mi."
2024 Lexus TX 550h+ Luxury,"$91,000",Koons Tysons Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","2,077 mi."
2024 Toyota Grand Highlander Hybrid LIMITED,"$59,500",Koons Tysons Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","7,351 mi."
2024 Toyota RAV4 Prime XSE,"$49,300",Koons Tysons Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)",131 mi.
2022 Lexus NX 450h+ Luxury,"$50,700",Pohanka Lexus,CVT,All-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","32,141 mi."
2021 Lexus UX 250h Base,"$31,777",Pohanka Lexus,CVT,All-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","27,320 mi."
2023 Toyota Venza LE,"$32,881",Honda of Chantilly,CVT,All-Wheel Drive,Hybrid,4.3,702 reviews,"Chantilly, VA (48 mi.)","11,795 mi."
2007 Lexus RX 400h Base (CVT),"$7,999",Alternative Motor Group,CVT,All-Wheel Drive,Hybrid,0,3 reviews,"Chantilly, VA (50 mi.)","130,047 mi."
2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"$9,995",Leonardtown Ford,CVT,All-Wheel Drive,Hybrid,4.9,154 reviews,"Leonardtown, MD (65 mi.)","146,490 mi."
2014 Subaru XV Crosstrek Hybrid Base,"$9,995",JNM Auto Group,CVT,All-Wheel Drive,Hybrid,2.8,48 reviews,"Warrenton, VA (71 mi.)","127,644 mi."
2023 Toyota RAV4 Hybrid Limited,"$38,600",CMA's Chevrolet of Martinsburg,CVT,All-Wheel Drive,Hybrid,0,66 reviews,"Martinsburg, WV (72 mi.)","23,351 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2021 Honda CR-V Hybrid Touring,"$28,495",Norris Auto Group,CVT,All-Wheel Drive,Hybrid,4.6,719 reviews,"Baltimore, MD (10 mi.)","41,600 mi."
2024 Honda CR-V Hybrid Sport-L,"$35,900",Sport Honda,CVT,All-Wheel Drive,Hybrid,4.9,594 reviews,"Silver Spring, MD (19 mi.)","6,733 mi."
2021 Honda CR-V Hybrid Touring,"$29,500",Sport Honda,CVT,All-Wheel Drive,Hybrid,4.9,594 reviews,"Silver Spring, MD (19 mi.)","35,993 mi."
2023 Toyota RAV4 Prime XSE,"$42,300",DARCARS Lexus Of Silver Spring,CVT,All-Wheel Drive,Hybrid,4.6,"1,787 reviews","Silver Spring, MD (20 mi.)","31,181 mi."
2021 Toyota Highlander Hybrid XLE,"$38,000",Ourisman Toyota 40,CVT,All-Wheel Drive,Hybrid,4.6,430 reviews,"Edgewood, MD (23 mi.)","38,198 mi."
2024 Toyota RAV4 Hybrid XLE,"$36,495",Alexandria Toyota,CVT,All-Wheel Drive,Hybrid,4.5,601 reviews,"Alexandria, VA (35 mi.)","5,935 mi."
2021 Toyota RAV4 Hybrid XLE,"$27,795",Alexandria Toyota,CVT,All-Wheel Drive,Hybrid,4.5,601 reviews,"Alexandria, VA (35 mi.)","58,810 mi."
2023 Honda CR-V Hybrid Sport,"$32,250",Koons Tysons Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","27,820 mi."
2021 Honda CR-V Hybrid Touring,"$28,500",Ourisman Honda of Tysons Corner,CVT,All-Wheel Drive,Hybrid,3.7,529 reviews,"Vienna, VA (38 mi.)","46,772 mi."
