Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2018 Ford Fusion Hybrid SE,"$9,895",National Motors of Ellicott City,CVT,Front-Wheel Drive,Hybrid,4.4,555 reviews,"Ellicott City, MD (8 mi.)","103,909 mi."
2014 Ford C-Max Hybrid SE,"$12,295",Carhaven,CVT,Front-Wheel Drive,Hybrid,2.9,112 reviews,"Millersville, MD (10 mi.)","16,161 mi."
2016 Ford C-Max Hybrid SE,"$10,497",Carhaven,CVT,Front-Wheel Drive,Hybrid,2.9,112 reviews,"Millersville, MD (10 mi.)","73,312 mi."
2022 Honda Insight Touring,"$23,800",Heritage Honda,CVT,Front-Wheel Drive,Hybrid,4.9,"3,674 reviews","Parkville, MD (14 mi.)","40,587 mi."
2014 Toyota Prius v Three,"$9,989",Jones Preowned Superstore,CVT,Front-Wheel Drive,Hybrid,3.2,733 reviews,"Fallston, MD (25 mi.)","154,851 mi."
2016 Ford C-Max Hybrid SEL,"$9,489",Motorcars of Gaithersburg,CVT,Front-Wheel Drive,Hybrid,0,7 reviews,"Gaithersburg, MD (27 mi.)","107,437 mi."
2012 Toyota Prius c Three,"$9,489",Motorcars of Gaithersburg,CVT,Front-Wheel Drive,Hybrid,0,7 reviews,"Gaithersburg, MD (27 mi.)","135,360 mi."
2010 Lexus HS 250h Premium,"$7,999",Q's Quality Cars LLC,CVT,Front-Wheel Drive,Hybrid,0,0 reviews,"Capitol Heights, MD (28 mi.)","145,432 mi."
2004 Honda Civic Hybrid,"$5,995",Virginia Auto Trader Co.,CVT,Front-Wheel Drive,Hybrid,2.7,61 reviews,"Arlington, VA (33 mi.)","155,116 mi."
2010 Toyota Prius III,"$9,350",Koons Tysons Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","117,172 mi."
2020 Honda Accord Hybrid EX,"$22,000",Koons Tysons Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"2,444 reviews","Vienna, VA (37 mi.)","83,506 mi."
2019 Honda Insight EX,"$20,900",Bill Page Honda,CVT,Front-Wheel Drive,Hybrid,4.6,"1,718 reviews","Falls Church, VA (38 mi.)","15,461 mi."
2022 Ford Maverick XL,"$22,500",Waldorf Ford,CVT,Front-Wheel Drive,Hybrid,4.3,"1,144 reviews","Waldorf, MD (43 mi.)","62,570 mi."
2020 Toyota Prius LE,"$21,487",Hertrich Honda Kia of Easton,CVT,Front-Wheel Drive,Hybrid,0,28 reviews,"Easton, MD (49 mi.)","50,647 mi."
2022 Lexus ES 300h,"$40,795",Volvo Cars Hagerstown,CVT,Front-Wheel Drive,Hybrid,0,1 review,"Hagerstown, MD (60 mi.)","13,883 mi."
2014 Toyota Prius c One,"$15,312","Lancaster County Motors, Inc.",CVT,Front-Wheel Drive,Hybrid,4.8,912 reviews,"East Petersburg, PA (62 mi.)","50,825 mi."
2007 Honda Civic Hybrid Base (CVT),"$5,863","Lancaster County Motors, Inc.",CVT,Front-Wheel Drive,Hybrid,4.8,912 reviews,"East Petersburg, PA (62 mi.)","153,085 mi."
2010 Ford Fusion Hybrid Hybrid,"$10,995",Leonardtown Ford,CVT,Front-Wheel Drive,Hybrid,4.9,154 reviews,"Leonardtown, MD (65 mi.)","46,161 mi."
2020 Honda Insight EX,"$18,995",Sheehy Ford of Warrenton,CVT,Front-Wheel Drive,Hybrid,4.5,619 reviews,"Warrenton, VA (69 mi.)","69,653 mi."
2011 Nissan Altima Hybrid Base 4dr Sedan,"$5,995",JNM Auto Group,CVT,Front-Wheel Drive,Hybrid,2.8,48 reviews,"Warrenton, VA (71 mi.)","132,774 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2018 Toyota Camry Hybrid XLE,"$15,500",Heritage Toyota Catonsville,CVT,Front-Wheel Drive,Hybrid,4.3,"1,798 reviews","Baltimore, MD (6 mi.)","158,928 mi."
2023 Toyota Sienna LE,"$42,000",Heritage Toyota Catonsville,CVT,Front-Wheel Drive,Hybrid,4.3,"1,798 reviews","Baltimore, MD (6 mi.)","35,497 mi."
2020 Honda Accord Hybrid EX,"$23,401",Koons Annapolis Toyota,CVT,Front-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","47,264 mi."
2020 Ford Fusion Hybrid SE,"$15,300",Heritage Honda Bel Air,CVT,Front-Wheel Drive,Hybrid,4.9,"4,469 reviews","Fallston, MD (24 mi.)","72,373 mi."
2022 Ford Maverick XLT,"$27,000",Century Ford,CVT,Front-Wheel Drive,Hybrid,0,180 reviews,"Mt Airy, MD (27 mi.)","42,982 mi."
2018 Toyota Prius Prime Advanced,"$16,992",BMW of Rockville,CVT,Front-Wheel Drive,Hybrid,4.6,"2,722 reviews","Rockville, MD (27 mi.)","117,187 mi."
