Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2023 Ford F-350 Lariat,"$59,991",Al Packer Ford,Manual,All-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","29,909 mi."
2020 Subaru WRX STI Base,"$31,975",I.G. Burton Subaru of Glen Burnie,Manual,All-Wheel Drive,Gasoline,4.4,125 reviews,"Glen Burnie, MD (6 mi.)","43,486 mi."
2017 Subaru WRX Premium,"$17,000",Koons Ford of Baltimore,Manual,All-Wheel Drive,Gasoline,4.3,"1,797 reviews","Windsor Mill, MD (7 mi.)","90,447 mi."
2014 Audi A4 2.0T Premium Plus,"$11,895",National Motors of Ellicott City,Manual,All-Wheel Drive,Gasoline,4.5,554 reviews,"Ellicott City, MD (8 mi.)","93,248 mi."
2014 Subaru Impreza WRX Limited,"$15,998",Magothy Motorcars,Manual,All-Wheel Drive,Gasoline,0,19 reviews,"Pasadena, MD (13 mi.)","93,430 mi."
2024 Toyota GR Corolla Core,"$36,995",Jim Coleman Honda,Manual,All-Wheel Drive,Gasoline,4.8,"2,594 reviews","Clarkesville, MD (15 mi.)","8,600 mi."
2017 Hyundai Tucson Limited,"$12,488",Fitzgerald Mazda of Annapolis,Manual,All-Wheel Drive,Gasoline,4.9,315 reviews,"Annapolis, MD (20 mi.)","141,052 mi."
2018 Subaru WRX Premium,"$18,500",Koons Annapolis Toyota,Manual,All-Wheel Drive,Gasoline,4.5,"1,145 reviews","Annapolis, MD (21 mi.)","88,565 mi."
2008 Mitsubishi Lancer Evolution GSR,"$19,800",MemberCar,Manual,All-Wheel Drive,Gasoline,4.9,612 reviews,"Rockville, MD (27 mi.)","89,509 mi."
2011 Mitsubishi Lancer Evolution GSR,"$20,950",Amko Auto Temple Hills,Manual,All-Wheel Drive,Gasoline,3.5,53 reviews,"Temple Hills, MD (33 mi.)","119,330 mi."
2006 Mitsubishi Lancer Evolution MR,"$44,977",Lindsay Volkswagen of Dulles,Manual,All-Wheel Drive,Gasoline,4.8,"2,066 reviews","Sterling, VA (44 mi.)","62,867 mi."
2017 Ford Focus RS Base,"$27,499",Auto Heaven Inc,Manual,All-Wheel Drive,Gasoline,2.9,11 reviews,"Chantilly, VA (48 mi.)","66,079 mi."
2005 Mitsubishi Lancer Evolution VIII,"$28,995",Capital Auto Sales,Manual,All-Wheel Drive,Gasoline,3.8,153 reviews,"Chantilly, VA (48 mi.)","145,079 mi."
2019 Volkswagen Golf Alltrack TSI S,"$22,900",Sauder Motors Inc.,Manual,All-Wheel Drive,Gasoline,0,37 reviews,"Strasburg, PA (58 mi.)","52,484 mi."
2013 Subaru Impreza WRX Base,"$10,900",83 Autos LLC,Manual,All-Wheel Drive,Gasoline,0,15 reviews,"York, PA (59 mi.)","151,287 mi."
2020 Subaru WRX STI Limited w/Wing,"$36,883",Mark Martin Motors,Manual,All-Wheel Drive,Gasoline,0,122 reviews,"Ephrata, PA (66 mi.)","29,240 mi."
2014 Audi R8 4.2,"$135,000","Wistar Motors, Inc",Manual,All-Wheel Drive,Gasoline,0,0 reviews,"Kennett Square, PA (68 mi.)","7,350 mi."
2022 Subaru WRX Base,"$25,495",Sheehy Ford of Warrenton,Manual,All-Wheel Drive,Gasoline,4.5,619 reviews,"Warrenton, VA (69 mi.)","19,530 mi."
2014 Subaru Impreza WRX Base,"$16,990",I-Deal Cars LLC CampHill,Manual,All-Wheel Drive,Gasoline,4.5,27 reviews,"Camp Hill, PA (70 mi.)","82,075 mi."
2022 Volkswagen Golf R 2.0T,"$39,500",Faulkner Volkswagen,Manual,All-Wheel Drive,Gasoline,4.1,314 reviews,"Mechanicsburg, PA (72 mi.)","21,322 mi."
1991 Dodge Stealth R/T,"$19,995",Shively Motors Dodge Chrysler Jeep Ram of Shippensburg,Manual,All-Wheel Drive,Gasoline,0,159 reviews,"Shippensburg, PA (72 mi.)","63,086 mi."
2023 Ford F-350 Lariat,"$59,991",Al Packer Ford,Manual,All-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","29,909 mi."
2021 Subaru WRX STI Limited w/Wing,"$39,875",I.G. Burton Subaru of Glen Burnie,Manual,All-Wheel Drive,Gasoline,4.4,125 reviews,"Glen Burnie, MD (6 mi.)","29,379 mi."
2023 Subaru WRX Premium,"$29,777",Heritage Chrysler Jeep Dodge RAM Owings Mills,Manual,All-Wheel Drive,Gasoline,4.5,"2,445 reviews","Owings Mills, MD (15 mi.)","15,105 mi."
2016 Subaru WRX STI Limited,"$19,990",AutoDot,Manual,All-Wheel Drive,Gasoline,4.7,154 reviews,"Sykesville, MD (19 mi.)","96,907 mi."
2015 Subaru WRX STI Base,"$20,800",Heritage Honda Bel Air,Manual,All-Wheel Drive,Gasoline,4.9,"4,458 reviews","Fallston, MD (24 mi.)","89,741 mi."
2024 Toyota GR Corolla Core,"$38,995",Jones Used Cars,Manual,All-Wheel Drive,Gasoline,3.2,223 reviews,"Bel Air, MD (25 mi.)",113 mi.
2012 Subaru Forester 2.5X Premium,"$4,900",Fitzgerald Used Cars Germantown,Manual,All-Wheel Drive,Gasoline,4.9,223 reviews,"Germantown, MD (31 mi.)","145,339 mi."
2016 Subaru WRX STI Limited,"$22,150",Ron's Automotive,Manual,All-Wheel Drive,Gasoline,2.8,99 reviews,"Manchester, MD (33 mi.)","93,766 mi."
2018 Subaru WRX STI Base,"$27,000",Koons Arlington Toyota,Manual,All-Wheel Drive,Gasoline,4.1,684 reviews,"Arlington, VA (34 mi.)","50,135 mi."
2004 BMW X5 3.0i,"$9,995",Auto Buying Service,Manual,All-Wheel Drive,Gasoline,2.7,197 reviews,"Fairfax, VA (40 mi.)","77,520 mi."
2018 Subaru WRX STI Base,"$24,500",Waldorf Ford,Manual,All-Wheel Drive,Gasoline,4.3,"1,144 reviews","Waldorf, MD (43 mi.)","88,091 mi."
2020 Subaru WRX STI Base,"$29,707",Stohlman Subaru of Sterling,Manual,All-Wheel Drive,Gasoline,4.6,636 reviews,"Sterling, VA (44 mi.)","63,677 mi."
2015 Subaru WRX STI Base,"$21,977",Lindsay Volkswagen of Dulles,Manual,All-Wheel Drive,Gasoline,4.8,"2,066 reviews","Sterling, VA (44 mi.)","85,607 mi."
2011 Subaru Impreza WRX STi STI Limited,"$15,999",Loudoun Motor Cars,Manual,All-Wheel Drive,Gasoline,0,2 reviews,"Chantilly, VA (48 mi.)","93,491 mi."
2021 Subaru WRX Premium,"$26,000",Koons Woodbridge Buick GMC,Manual,All-Wheel Drive,Gasoline,4,100 reviews,"Woodbridge, VA (53 mi.)","36,265 mi."
2021 Subaru Crosstrek Base,"$20,789",Auto Connection of Lancaster,Manual,All-Wheel Drive,Gasoline,0,18 reviews,"Lancaster, PA (58 mi.)","48,726 mi."
2024 Subaru WRX Premium,"$31,000",Bob Ruth Ford,Manual,All-Wheel Drive,Gasoline,4.7,"1,942 reviews","Dillsburg, PA (64 mi.)","5,057 mi."
2011 Audi R8 5.2 quattro Spyder,"$165,000","Wistar Motors, Inc",Manual,All-Wheel Drive,Gasoline,0,0 reviews,"Kennett Square, PA (68 mi.)","8,210 mi."
2013 MINI Countryman Cooper S ALL4,"$12,490",PA Auto Select,Manual,All-Wheel Drive,Gasoline,0,90 reviews,"Downingtown, PA (75 mi.)","76,474 mi."
2016 Subaru Crosstrek 2.0i,"$15,000",Concordville Subaru,Manual,All-Wheel Drive,Gasoline,4.9,"3,076 reviews","Glen Mills, PA (75 mi.)","72,479 mi."
2023 Toyota GR Corolla Core,"$38,411",Heritage Toyota CDJR of Harrisburg,Manual,All-Wheel Drive,Gasoline,4.8,"4,894 reviews","Harrisburg, PA (76 mi.)","1,157 mi."
2023 Ford F-350 Lariat,"$59,991",Al Packer Ford,Manual,All-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","29,909 mi."
2024 Subaru WRX Premium,"$31,497",J.B.A. Chevrolet,Manual,All-Wheel Drive,Gasoline,4.6,842 reviews,"Glen Burnie, MD (6 mi.)",468 mi.
2023 Toyota GR Corolla Core,"$35,500",Koons Ford of Baltimore,Manual,All-Wheel Drive,Gasoline,4.3,"1,797 reviews","Windsor Mill, MD (7 mi.)","15,906 mi."
2023 Audi A3 Premium,"$30,988",Fitzgerald Mazda of Annapolis,Manual,All-Wheel Drive,Gasoline,4.9,315 reviews,"Annapolis, MD (20 mi.)","8,651 mi."
2020 Subaru WRX STI Limited w/Wing,"$31,290",BMW of Rockville,Manual,All-Wheel Drive,Gasoline,4.6,"2,722 reviews","Rockville, MD (27 mi.)","47,052 mi."
2022 Subaru WRX Premium,"$26,500",Buchanan Kia,Manual,All-Wheel Drive,Gasoline,3.9,469 reviews,"Westminster, MD (29 mi.)","39,609 mi."
2019 MINI Clubman Cooper ALL4,"$20,000",Passport MINI of Alexandria,Manual,All-Wheel Drive,Gasoline,4.4,337 reviews,"Alexandria, VA (39 mi.)","63,543 mi."
2018 Subaru WRX STI Limited,"$32,500",AutoNation Honda Dulles,Manual,All-Wheel Drive,Gasoline,4.6,"3,412 reviews","Sterling, VA (44 mi.)","33,437 mi."
