Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,All-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2010 Subaru Forester 2.5 X Limited,"$10,998",Magothy Motorcars,Automatic,All-Wheel Drive,Gasoline,0,19 reviews,"Pasadena, MD (13 mi.)","64,616 mi."
2021 BMW X6 M Sports Activity Coupe,"$78,000",BMW of Towson,Automatic,All-Wheel Drive,Gasoline,4.7,446 reviews,"Towson, MD (13 mi.)","20,014 mi."
2023 Audi A8 L 55 TFSI quattro Tiptronic,"$48,495",Audi Hunt Valley,Automatic,All-Wheel Drive,Gasoline,4.7,698 reviews,"Cockeysville, MD (16 mi.)","41,107 mi."
2018 Buick Regal TourX Essence,"$18,299",Anderson of Hunt Valley,Automatic,All-Wheel Drive,Gasoline,4.8,204 reviews,"Cockeysville, MD (16 mi.)","82,774 mi."
2021 Mercedes-Benz GLA 250 Base 4MATIC,"$31,800",Koons Toyota Of Westminster,Automatic,All-Wheel Drive,Gasoline,4.6,867 reviews,"Westminster, MD (29 mi.)","6,088 mi."
2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"$34,500",Manchester Motors,Automatic,All-Wheel Drive,Gasoline,4.8,400 reviews,"Manchester, MD (31 mi.)","19,770 mi."
2020 Volvo S90 T6 R-Design,"$27,500",Koons Sterling Ford,Automatic,All-Wheel Drive,Gasoline,4,982 reviews,"Sterling, VA (41 mi.)","56,853 mi."
2017 BMW X1 xDrive 28i,"$19,989",South Street Autos,Automatic,All-Wheel Drive,Gasoline,0,15 reviews,"Frederick, MD (43 mi.)","69,359 mi."
2021 Lexus UX 250h Base,"$31,532",Gene Latta Ford,Automatic,All-Wheel Drive,Gasoline,4.7,155 reviews,"Hanover, PA (45 mi.)","31,702 mi."
2022 Kia Stinger GT2,"$40,650",Renn Kirby Kia,Automatic,All-Wheel Drive,Gasoline,4.5,197 reviews,"Gettysburg, PA (50 mi.)","25,941 mi."
2021 Lincoln Nautilus Reserve,"$34,990",Susquehanna Ford,Automatic,All-Wheel Drive,Gasoline,0,2 reviews,"Willow Street, PA (53 mi.)","33,000 mi."
2023 Dodge Hornet GT,"$24,490",Susquehanna Chrysler Dodge Jeep RAM,Automatic,All-Wheel Drive,Gasoline,4.2,573 reviews,"Wrightsville, PA (55 mi.)","8,322 mi."
2018 Porsche Panamera Sport Turismo Turbo,"$79,975",Porsche Delaware,Automatic,All-Wheel Drive,Gasoline,4.3,249 reviews,"Newark, DE (60 mi.)","81,504 mi."
2020 Audi S4 Premium Plus TFSI quattro Tiptronic,"$35,950",Z Motor Company Inc.,Automatic,All-Wheel Drive,Gasoline,5,124 reviews,"East Petersburg, PA (62 mi.)","38,910 mi."
2004 Buick Rendezvous CX,"$7,998",Sheehy Toyota of Stafford,Automatic,All-Wheel Drive,Gasoline,4.1,"1,443 reviews","Stafford, VA (67 mi.)","77,367 mi."
2016 Mercedes-Benz GLA-Class GLA 250 4MATIC,"$16,995",Kyner's Auto Sales Inc.,Automatic,All-Wheel Drive,Gasoline,4.8,710 reviews,"Chambersburg, PA (68 mi.)","108,693 mi."
2015 Cadillac SRX Premium Collection,"$10,900",Kyner's Auto Sales Inc.,Automatic,All-Wheel Drive,Gasoline,4.8,710 reviews,"Chambersburg, PA (68 mi.)","126,301 mi."
2018 Lincoln MKT Reserve,"$23,990","L. B. Smith Ford Lincoln, Inc.",Automatic,All-Wheel Drive,Gasoline,5,"2,653 reviews","Lemoyne, PA (71 mi.)","48,819 mi."
2018 BMW X5 eDrive xDrive40e,"$21,995",M&B Auto Group,Automatic,All-Wheel Drive,Gasoline,4.8,81 reviews,"Bealeton, VA (74 mi.)","63,814 mi."
2018 BMW ALPINA B7 xDrive,"$36,911",Heritage Toyota CDJR of Harrisburg,Automatic,All-Wheel Drive,Gasoline,4.8,"4,892 reviews","Harrisburg, PA (76 mi.)","78,508 mi."
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,All-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2015 BMW 535 xDrive,"$15,490",LF Autos,Automatic,All-Wheel Drive,Gasoline,0,79 reviews,"Baltimore, MD (7 mi.)","81,957 mi."
2023 Mercedes-Benz GLS 450 4MATIC,"$77,900",Mercedes-Benz of Owings Mills,Automatic,All-Wheel Drive,Gasoline,4.9,"2,413 reviews","Owings Mills, MD (13 mi.)","6,253 mi."
2020 Subaru Forester Limited,"$25,800",Heritage Volkswagen Parkville,Automatic,All-Wheel Drive,Gasoline,4.6,"1,658 reviews","Baltimore, MD (14 mi.)","15,897 mi."
2023 Volkswagen Atlas Cross Sport 2.0T SEL,"$37,000",Heritage Chrysler Jeep Dodge RAM Parkville,Automatic,All-Wheel Drive,Gasoline,4.7,"2,270 reviews","Baltimore, MD (14 mi.)","15,607 mi."
2022 Hyundai Kona N Line,"$21,990",Fitzgerald Cadillac of Annapolis,Automatic,All-Wheel Drive,Gasoline,5,60 reviews,"Annapolis, MD (20 mi.)","29,176 mi."
2016 BMW 535 Gran Turismo xDrive,"$15,688",Genesis of Rockville,Automatic,All-Wheel Drive,Gasoline,0,2 reviews,"Rockville, MD (27 mi.)","94,534 mi."
2017 Audi TTS 2.0T,"$31,000",Manchester Motors,Automatic,All-Wheel Drive,Gasoline,4.8,400 reviews,"Manchester, MD (31 mi.)","42,807 mi."
2015 Audi RS 7 4.0T Prestige,"$42,820",Catoctin Automotive Group,Automatic,All-Wheel Drive,Gasoline,0,13 reviews,"Frederick, MD (42 mi.)","130,262 mi."
2024 Honda Passport AWD Black,"$45,250",Fitzgerald Chevrolet Frederick,Automatic,All-Wheel Drive,Gasoline,4.2,778 reviews,"Frederick, MD (43 mi.)","7,777 mi."
2012 Nissan Rogue SV w/SL Pkg,"$12,788",South Street Autos,Automatic,All-Wheel Drive,Gasoline,0,15 reviews,"Frederick, MD (43 mi.)","72,283 mi."
2014 BMW i8 PURE IMPULSE WORLD,"$44,000",Royal Auto Club,Automatic,All-Wheel Drive,Gasoline,2.1,35 reviews,"Sterling, VA (48 mi.)","86,297 mi."
2022 Mercedes-Benz AMG GT 43 C,"$69,900",Audi Chantilly,Automatic,All-Wheel Drive,Gasoline,4.8,688 reviews,"Chantilly, VA (49 mi.)","20,127 mi."
2021 Alfa Romeo Stelvio Ti,"$25,400",Koons Woodbridge Buick GMC,Automatic,All-Wheel Drive,Gasoline,4,100 reviews,"Woodbridge, VA (53 mi.)","40,525 mi."
2020 Audi S7 2.9T Premium Plus,"$38,995",Michigan Auto,Automatic,All-Wheel Drive,Gasoline,3.1,45 reviews,"Woodbridge, VA (55 mi.)","81,840 mi."
2023 Dodge Hornet GT,"$25,990",Susquehanna Chrysler Dodge Jeep RAM,Automatic,All-Wheel Drive,Gasoline,4.2,573 reviews,"Wrightsville, PA (55 mi.)","10,960 mi."
2021 Audi RS 7 4.0T,"$65,777",Lease Return Center,Automatic,All-Wheel Drive,Gasoline,2.3,339 reviews,"Triangle, VA (60 mi.)","54,061 mi."
2017 Dodge Durango R/T,"$23,900",Winner Ford Hyundai,Automatic,All-Wheel Drive,Gasoline,0,934 reviews,"Dover, DE (63 mi.)","89,885 mi."
2022 Audi A5 40 Premium,"$32,987",Morgan Automotive Inc.,Automatic,All-Wheel Drive,Gasoline,5,"1,000 reviews","Manheim, PA (65 mi.)","15,947 mi."
2020 BMW X4 M Competition,"$48,990",Union Park Honda BMW Buick GMC Volvo Cars Jaguar,Automatic,All-Wheel Drive,Gasoline,3.4,554 reviews,"Wilmington, DE (70 mi.)","49,218 mi."
2018 Volkswagen Atlas 3.6L SE w/Technology,"$20,200",Faulkner Chrysler Dodge Jeep Ram Fiat,Automatic,All-Wheel Drive,Gasoline,4.4,644 reviews,"Mechanicsburg, PA (72 mi.)","57,173 mi."
2018 Ford F-150 Raptor,"$40,662",Al Packer Ford,Automatic,All-Wheel Drive,Gasoline,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","90,877 mi."
2020 Maserati Ghibli S Q4,"$28,995",National Motors of Ellicott City,Automatic,All-Wheel Drive,Gasoline,4.5,554 reviews,"Ellicott City, MD (8 mi.)","45,818 mi."
2018 Maserati Ghibli S Q4,"$19,555",AMKO Auto of Laurel,Automatic,All-Wheel Drive,Gasoline,4.2,168 reviews,"Laurel, MD (13 mi.)","55,590 mi."
2021 Maserati Ghibli S Q4,"$34,500",Koons Clarksville Chevy Buick GMC,Automatic,All-Wheel Drive,Gasoline,4.5,502 reviews,"Clarksville, MD (15 mi.)","42,775 mi."
2021 Chevrolet Traverse High Country,"$34,000",Jim Coleman Nissan of Silver Spring,Automatic,All-Wheel Drive,Gasoline,4.8,220 reviews,"Silver Spring, MD (19 mi.)","51,461 mi."
2017 Maserati Ghibli S Q4,"$28,500",Auto Showcase of Bel Air,Automatic,All-Wheel Drive,Gasoline,4.2,446 reviews,"Fallston, MD (24 mi.)","34,336 mi."
2018 Maserati Ghibli S Q4,"$28,997",Auto Showcase of Bel Air,Automatic,All-Wheel Drive,Gasoline,4.2,446 reviews,"Fallston, MD (24 mi.)","50,588 mi."
2017 Jaguar XE 35t R-Sport,"$20,599",Auto Showcase of Bel Air,Automatic,All-Wheel Drive,Gasoline,4.2,446 reviews,"Fallston, MD (24 mi.)","57,486 mi."
2019 Acura TLX Technology,"$28,900",Auto Showcase of Bel Air,Automatic,All-Wheel Drive,Gasoline,4.2,446 reviews,"Fallston, MD (24 mi.)","52,597 mi."
